card_id,customer_id,card1,card2,card3,network,card5,card_type,home_region,home_country,n_txns,n_online,n_in_person,median_amt,p95_amt,max_amt,n_regions,n_products,top_products,first_seen,last_seen
C00059-K2,C00059,21826,332.0,150.0,visa,226.0,debit,264.0,87.0,587,11,576,77.0,226.05,2183.24,6,3,W|H|C,2016-07-02 17:43:33,2016-12-29 13:13:40
C00060-K1,C00060,16087,399.0,150.0,american express,150.0,credit,299.0,87.0,30,30,0,224.99,799.95,800.08,11,2,H|R,2016-07-07 20:10:22,2016-12-23 21:50:18
C00061-K1,C00061,21836,360.0,150.0,visa,166.0,debit,330.0,87.0,2,1,1,94.43,144.38,149.93,2,2,R|W,2016-07-11 16:44:15,2016-10-29 23:34:45
C00062-K1,C00062,13912,555.0,213.0,mastercard,224.0,credit,123.0,87.0,1,1,0,75.05,75.05,75.05,1,1,R,2016-12-15 03:44:57,2016-12-15 03:44:57
C00063-K1,C00063,17420,543.0,150.0,mastercard,224.0,debit,123.0,87.0,6,1,5,288.43,693.16,693.16,1,2,W|H,2016-07-16 14:30:11,2016-10-05 00:40:06
C00064-K1,C00064,15329,586.0,150.0,mastercard,137.0,credit,204.0,87.0,2,0,2,62.92,76.39,77.89,2,1,W,2016-10-18 20:56:05,2016-11-16 02:42:53
C00065-K1,C00065,19270,555.0,190.0,visa,137.0,credit,"","",1,1,0,75.74,75.74,75.74,1,1,C,2016-11-18 01:03:49,2016-11-18 01:03:49
C00066-K1,C00066,13368,555.0,150.0,visa,226.0,debit,158.0,87.0,1,1,0,149.93,149.93,149.93,1,1,H,2016-10-01 06:48:43,2016-10-01 06:48:43
C00067-K1,C00067,20290,143.0,150.0,visa,226.0,debit,205.0,87.0,7,0,7,88.95,633.55,833.93,1,1,W,2016-07-03 00:25:44,2016-12-26 17:49:26
C00068-K1,C00068,14129,555.0,150.0,visa,138.0,debit,126.0,87.0,4,3,1,124.95,307.29,335.05,1,3,H|W|R,2016-07-03 18:07:43,2016-10-27 13:15:21
C00069-K1,C00069,18195,555.0,150.0,visa,166.0,debit,226.0,87.0,18,1,17,48.48,317.86,1455.82,12,2,W|H,2016-07-14 12:54:39,2016-12-19 14:31:45
C00070-K1,C00070,18785,389.0,150.0,visa,226.0,debit,143.0,87.0,4,0,4,133.91,249.09,256.01,1,1,W,2016-08-04 20:32:10,2016-10-17 01:21:51
C00071-K1,C00071,20969,555.0,185.0,visa,226.0,credit,"","",15,15,0,54.31,182.44,350.8,1,1,C,2016-07-25 04:04:16,2016-11-30 00:39:49
C00072-K1,C00072,12282,512.0,150.0,mastercard,224.0,debit,126.0,87.0,10,0,10,59.05,523.79,773.99,1,1,W,2016-09-01 06:42:48,2016-11-20 19:22:01
C00073-K1,C00073,17304,"","","","","","","",1,1,0,4.22,4.22,4.22,1,1,C,2016-12-11 03:14:24,2016-12-11 03:14:24
C00073-K2,C00073,17304,545.0,185.0,visa,138.0,debit,161.0,60.0,100,100,0,24.78,128.72,273.86,6,1,C,2016-07-08 20:42:24,2016-12-31 02:24:59
C00074-K1,C00074,11152,369.0,150.0,mastercard,117.0,debit,181.0,87.0,2,0,2,65.76,93.92,97.05,1,1,W,2016-10-28 21:06:48,2016-11-21 21:38:30
C00075-K1,C00075,16971,555.0,150.0,visa,162.0,credit,204.0,87.0,1,1,0,149.94,149.94,149.94,1,1,R,2016-09-06 20:37:07,2016-09-06 20:37:07
C00076-K1,C00076,18703,514.0,150.0,mastercard,197.0,credit,299.0,87.0,11,8,3,100.09,489.48,553.92,8,4,R|C|H|W,2016-07-14 18:17:17,2016-11-04 16:07:17
C00077-K1,C00077,11606,555.0,138.0,visa,226.0,debit,"","",1,1,0,53.64,53.64,53.64,1,1,C,2016-10-30 00:44:40,2016-10-30 00:44:40
C00078-K1,C00078,13297,"","","","","",299.0,87.0,1,0,1,58.94,58.94,58.94,1,1,W,2016-10-03 15:49:34,2016-10-03 15:49:34
C00078-K2,C00078,13297,233.0,150.0,visa,226.0,credit,204.0,87.0,2,0,2,171.5,220.5,225.95,2,1,W,2016-09-10 12:15:06,2016-11-06 21:19:17
C00079-K1,C00079,22236,517.0,150.0,mastercard,224.0,debit,330.0,87.0,9,0,9,117.02,171.04,171.04,1,1,W,2016-10-18 22:40:01,2016-12-27 15:12:58
C00080-K1,C00080,12284,555.0,134.0,visa,226.0,credit,"","",1,1,0,19.12,19.12,19.12,1,1,C,2016-11-08 12:54:03,2016-11-08 12:54:03
C00081-K1,C00081,10465,"","","","","",472.0,87.0,1,0,1,58.92,58.92,58.92,1,1,W,2016-09-29 14:57:57,2016-09-29 14:57:57
C00081-K2,C00081,10465,574.0,150.0,visa,226.0,debit,472.0,87.0,49,3,46,112.98,280.09,977.77,1,4,S|W|H|R,2016-07-02 22:16:22,2016-12-28 00:34:49
C00082-K1,C00082,22960,321.0,150.0,visa,226.0,debit,204.0,87.0,3,1,2,49.94,84.97,88.86,1,2,H|W,2016-07-23 21:13:47,2016-10-20 23:56:36
C00083-K1,C00083,16723,302.0,150.0,visa,226.0,debit,264.0,87.0,3,0,3,43.03,56.5,58.0,1,1,W,2016-07-15 20:27:06,2016-08-18 01:29:26
C00084-K1,C00084,10451,555.0,200.0,mastercard,137.0,credit,"","",2,2,0,37.73,40.42,40.72,1,1,C,2016-08-19 12:26:44,2016-08-19 21:47:31
C00085-K1,C00085,23143,555.0,150.0,visa,226.0,debit,170.0,87.0,2,0,2,44.0,48.46,48.96,1,1,W,2016-12-10 16:04:17,2016-12-18 21:05:53
C00086-K1,C00086,16655,554.0,150.0,visa,226.0,debit,184.0,87.0,5,1,4,50.04,86.06,93.07,2,2,W|H,2016-07-24 16:29:44,2016-12-28 18:00:26
C00087-K1,C00087,19350,383.0,150.0,visa,195.0,debit,498.0,87.0,6,0,6,128.97,266.49,279.97,1,1,W,2016-07-28 15:42:00,2016-11-07 02:08:33
C00088-K1,C00088,19163,581.0,150.0,visa,226.0,credit,325.0,87.0,4,0,4,86.99,106.29,107.93,2,1,W,2016-07-12 21:18:30,2016-08-31 23:14:09
C00089-K1,C00089,18634,531.0,150.0,mastercard,229.0,debit,337.0,87.0,9,0,9,59.02,150.82,196.0,6,1,W,2016-07-02 17:53:03,2016-12-28 02:41:45
C00090-K1,C00090,16189,183.0,150.0,visa,226.0,debit,177.0,87.0,109,8,101,96.98,966.53,1879.91,4,3,R|W|H,2016-07-03 18:11:59,2016-12-25 17:33:05
C00091-K1,C00091,16998,555.0,222.0,visa,226.0,credit,"","",1,1,0,30.74,30.74,30.74,1,1,C,2016-10-22 19:17:56,2016-10-22 19:17:56
C00092-K1,C00092,22321,225.0,150.0,mastercard,224.0,debit,181.0,87.0,77,0,77,48.96,76.96,77.07,1,1,W,2016-07-04 01:17:39,2016-12-17 01:20:11
C00093-K1,C00093,22547,257.0,150.0,visa,226.0,credit,226.0,87.0,2,0,2,276.05,455.14,475.04,2,1,W,2016-07-18 15:00:01,2016-11-12 01:56:16
C00094-K1,C00094,16429,"","","","","",325.0,87.0,1,0,1,294.97,294.97,294.97,1,1,W,2016-09-29 16:04:58,2016-09-29 16:04:58
C00094-K2,C00094,16429,170.0,150.0,mastercard,102.0,credit,330.0,87.0,1,0,1,524.93,524.93,524.93,1,1,W,2016-08-16 16:23:09,2016-08-16 16:23:09
C00094-K3,C00094,16429,445.0,150.0,mastercard,224.0,debit,325.0,87.0,807,49,758,97.0,424.89,2330.75,21,5,W|H|S|R|C,2016-07-02 03:45:41,2016-12-30 15:26:23
C00095-K1,C00095,12490,555.0,150.0,mastercard,229.0,debit,272.0,87.0,4,0,4,100.28,115.77,117.04,1,1,W,2016-09-07 13:06:40,2016-10-12 12:58:51
C00096-K1,C00096,18055,555.0,185.0,mastercard,195.0,credit,"","",1,1,0,36.18,36.18,36.18,1,1,C,2016-07-28 04:22:07,2016-07-28 04:22:07
C00097-K1,C00097,21818,399.0,150.0,american express,133.0,credit,264.0,87.0,5,5,0,100.09,230.05,250.06,5,2,H|R,2016-07-10 15:05:33,2016-07-26 17:31:02
C00098-K1,C00098,12400,555.0,185.0,visa,195.0,debit,"","",2,2,0,103.94,108.3,108.78,1,1,C,2016-07-24 02:11:12,2016-09-03 02:34:19
C00099-K1,C00099,23446,369.0,150.0,mastercard,224.0,debit,325.0,87.0,1,0,1,81.03,81.03,81.03,1,1,W,2016-10-31 22:47:41,2016-10-31 22:47:41
C00100-K1,C00100,16864,555.0,144.0,mastercard,224.0,credit,"","",1,1,0,58.84,58.84,58.84,1,1,C,2016-08-11 21:48:11,2016-08-11 21:48:11
C00101-K1,C00101,14535,225.0,150.0,mastercard,224.0,debit,123.0,87.0,26,0,26,59.02,296.32,335.08,3,1,W,2016-07-02 19:37:50,2016-11-09 22:13:14
C00102-K1,C00102,17479,554.0,150.0,visa,226.0,debit,492.0,87.0,1,0,1,150.99,150.99,150.99,1,1,W,2016-08-26 00:18:55,2016-08-26 00:18:55
C00103-K1,C00103,17560,346.0,150.0,mastercard,224.0,credit,299.0,87.0,13,5,8,250.04,2765.32,2765.37,5,3,H|W|R,2016-07-17 01:32:08,2016-12-31 00:33:11
C00104-K1,C00104,12278,399.0,150.0,american express,150.0,credit,225.0,87.0,10,10,0,162.53,250.05,250.06,7,1,R,2016-07-19 14:45:00,2016-10-07 22:53:45
C00105-K1,C00105,14077,170.0,150.0,visa,226.0,credit,512.0,87.0,5,2,3,117.04,335.01,335.01,4,2,R|W,2016-07-17 20:47:17,2016-12-16 01:32:12
C00106-K1,C00106,17101,555.0,150.0,visa,226.0,debit,143.0,87.0,26,0,26,58.01,222.81,323.06,2,1,W,2016-07-04 01:13:44,2016-12-21 14:22:01
C00107-K1,C00107,15729,"","","","","",330.0,87.0,1,0,1,114.97,114.97,114.97,1,1,W,2016-10-03 16:15:56,2016-10-03 16:15:56
C00107-K2,C00107,15729,568.0,150.0,visa,226.0,debit,325.0,87.0,248,12,236,59.01,433.36,2143.51,5,4,S|W|H|R,2016-07-06 19:35:51,2016-12-31 00:06:55
C00108-K1,C00108,12734,555.0,150.0,visa,166.0,debit,204.0,87.0,12,0,12,53.45,312.79,552.09,3,1,W,2016-08-01 15:20:05,2016-12-21 17:47:46
C00109-K1,C00109,21599,399.0,150.0,american express,150.0,credit,299.0,87.0,1,1,0,149.93,149.93,149.93,1,1,R,2016-09-08 23:35:50,2016-09-08 23:35:50
C00110-K1,C00110,11043,543.0,150.0,mastercard,224.0,debit,272.0,87.0,6,0,6,58.99,77.05,77.06,1,1,W,2016-09-02 16:40:40,2016-09-28 19:38:26
C00111-K1,C00111,16066,390.0,150.0,mastercard,224.0,debit,485.0,87.0,2,1,1,199.55,348.42,364.96,2,2,W|C,2016-07-21 14:26:13,2016-10-07 20:15:46
C00112-K1,C00112,18490,555.0,150.0,visa,226.0,debit,299.0,87.0,8,4,4,59.03,632.21,891.91,1,3,H|W|R,2016-07-10 20:46:04,2016-10-09 21:47:09
C00113-K1,C00113,20137,543.0,150.0,mastercard,224.0,debit,143.0,87.0,33,0,33,57.93,175.04,210.02,1,1,W,2016-07-03 14:43:30,2016-12-24 18:07:50
C00114-K1,C00114,18692,399.0,150.0,american express,137.0,credit,330.0,87.0,2,2,0,125.0,192.57,200.08,2,1,R,2016-07-18 21:03:16,2016-08-25 20:35:43
C00115-K1,C00115,10790,555.0,150.0,visa,226.0,debit,269.0,87.0,1,1,0,100.03,100.03,100.03,1,1,R,2016-07-25 15:55:46,2016-07-25 15:55:46
C00116-K1,C00116,17087,522.0,150.0,visa,195.0,debit,441.0,87.0,45,2,43,97.0,97.09,200.01,1,2,R|W,2016-08-04 15:18:20,2016-11-23 15:58:07
C00117-K1,C00117,15773,555.0,150.0,visa,226.0,debit,330.0,87.0,1,1,0,25.09,25.09,25.09,1,1,S,2016-08-28 00:08:47,2016-08-28 00:08:47
C00118-K1,C00118,18205,555.0,150.0,mastercard,141.0,credit,299.0,87.0,2,2,0,175.01,197.44,199.93,1,1,R,2016-10-20 16:42:55,2016-10-20 18:56:55
C00119-K1,C00119,12784,555.0,100.0,mastercard,224.0,credit,231.0,87.0,1,0,1,68.48,68.48,68.48,1,1,W,2016-12-18 20:14:34,2016-12-18 20:14:34
C00120-K1,C00120,12710,555.0,150.0,visa,226.0,debit,264.0,87.0,4,0,4,58.97,101.42,108.9,1,1,W,2016-09-15 18:33:54,2016-10-23 00:02:58
C00121-K1,C00121,16506,399.0,150.0,american express,185.0,credit,472.0,87.0,1,1,0,149.95,149.95,149.95,1,1,R,2016-07-29 14:13:54,2016-07-29 14:13:54
C00122-K1,C00122,20919,263.0,150.0,visa,195.0,debit,194.0,87.0,9,7,2,200.0,672.46,787.48,1,2,W|R,2016-08-09 00:36:51,2016-12-10 17:51:26
C00123-K1,C00123,21354,555.0,121.0,mastercard,232.0,credit,"","",1,1,0,53.44,53.44,53.44,1,1,C,2016-09-05 19:50:27,2016-09-05 19:50:27
C00124-K1,C00124,14096,555.0,150.0,visa,226.0,credit,444.0,87.0,2,1,1,70.91,97.03,99.93,2,2,H|W,2016-07-09 02:13:31,2016-10-28 18:34:45
C00125-K1,C00125,15743,310.0,150.0,mastercard,224.0,debit,299.0,87.0,1,0,1,47.98,47.98,47.98,1,1,W,2016-11-01 16:00:51,2016-11-01 16:00:51
C00126-K1,C00126,19537,399.0,150.0,american express,132.0,credit,418.0,87.0,1,1,0,199.96,199.96,199.96,1,1,R,2016-12-07 15:08:51,2016-12-07 15:08:51
C00127-K1,C00127,14563,555.0,153.0,visa,137.0,credit,"","",1,1,0,29.67,29.67,29.67,1,1,C,2016-08-26 19:24:19,2016-08-26 19:24:19
C00128-K1,C00128,14149,225.0,150.0,mastercard,195.0,debit,264.0,87.0,1,0,1,59.0,59.0,59.0,1,1,W,2016-07-05 02:00:27,2016-07-05 02:00:27
C00129-K1,C00129,15785,"","","","","",143.0,87.0,1,0,1,107.88,107.88,107.88,1,1,W,2016-09-29 15:46:31,2016-09-29 15:46:31
C00129-K2,C00129,15785,355.0,150.0,visa,166.0,debit,441.0,87.0,279,14,265,50.01,315.24,1366.05,21,4,R|S|W|H,2016-07-02 13:08:11,2016-12-30 17:05:10
C00130-K1,C00130,15461,216.0,150.0,visa,226.0,credit,123.0,87.0,1,1,0,49.96,49.96,49.96,1,1,H,2016-07-18 16:23:55,2016-07-18 16:23:55
C00131-K1,C00131,14069,"",150.0,visa,226.0,debit,253.0,87.0,3,0,3,48.04,57.82,58.91,1,1,W,2016-10-20 20:01:06,2016-11-13 17:39:03
C00132-K1,C00132,21544,567.0,150.0,visa,195.0,credit,204.0,87.0,16,6,10,128.97,2072.55,2072.65,3,2,R|W,2016-07-20 21:08:27,2016-12-15 17:19:48
C00133-K1,C00133,16424,462.0,150.0,visa,195.0,debit,272.0,87.0,1,0,1,116.91,116.91,116.91,1,1,W,2016-11-23 22:01:40,2016-11-23 22:01:40
C00134-K1,C00134,16055,216.0,150.0,visa,226.0,credit,337.0,87.0,8,1,7,171.02,274.75,280.04,2,2,W|H,2016-07-20 21:58:35,2016-10-03 08:31:37
C00135-K1,C00135,18074,135.0,150.0,visa,226.0,debit,184.0,87.0,49,0,49,107.97,328.05,382.57,1,1,W,2016-07-09 22:49:27,2016-12-21 14:52:28
C00136-K1,C00136,11992,555.0,150.0,visa,226.0,debit,472.0,87.0,14,0,14,39.0,82.46,108.43,1,1,W,2016-08-10 03:57:19,2016-12-07 20:08:54
C00137-K1,C00137,10475,555.0,166.0,visa,226.0,credit,"","",6,6,0,29.99,53.69,53.7,1,1,C,2016-07-31 15:38:21,2016-09-10 19:01:02
C00138-K1,C00138,13416,225.0,150.0,mastercard,224.0,credit,264.0,87.0,2,0,2,212.54,355.21,371.06,1,1,W,2016-08-23 21:30:24,2016-11-15 23:49:44
C00139-K1,C00139,18509,"",150.0,visa,226.0,debit,330.0,87.0,2,2,0,14.93,19.42,19.92,1,1,S,2016-07-21 18:02:13,2016-12-31 12:47:29
C00140-K1,C00140,20630,118.0,185.0,visa,228.0,credit,"","",11,11,0,36.3,106.61,106.62,1,1,C,2016-08-28 05:39:58,2016-12-26 21:51:54
C00141-K1,C00141,14229,399.0,150.0,american express,132.0,credit,299.0,87.0,2,2,0,99.93,144.93,149.93,2,1,R,2016-07-10 20:28:54,2016-08-01 01:02:13
C00142-K1,C00142,10448,399.0,150.0,american express,223.0,credit,441.0,87.0,2,2,0,300.07,300.08,300.08,1,1,R,2016-07-28 20:21:05,2016-07-28 20:39:31
C00143-K1,C00143,22170,512.0,150.0,mastercard,224.0,debit,170.0,87.0,17,0,17,1103.94,1104.06,1104.08,1,1,W,2016-07-31 14:24:36,2016-11-30 17:44:26
