from_txn,to_txn,gap_seconds
3508254,3519558,331067
3519558,3534287,438691
3534287,3547298,366832
3547298,3566196,574998
3093028,3117417,407991
3117417,3229028,3103298
3229028,3234509,113361
3234509,3234571,1059
3234571,3234586,151
3234586,3252146,493212
3252146,3258272,176300
3258272,3258301,633
3258301,3258365,1082
3258365,3325123,1827521
3325123,3325226,1185
3012317,3013210,13681
3013210,3093677,1563132
3093677,3094778,38115
3094778,3257754,4238458
3257754,3510204,7170063
3510204,3537450,795599
3537450,3554100,498679
3002038,3006823,131086
3006823,3006902,3974
3006902,3009711,46361
3009711,3017949,221041
3017949,3054363,786096
3054363,3195545,3131331
3195545,3209011,421224
3209011,3326932,3263945
3326932,3375893,1301584
3375893,3377588,28710
3377588,3383256,168793
3383256,3419155,1012484
3419155,3448895,850695
3448895,3478639,961854
3478639,3518558,1191522
3518558,3559267,1214119
3190625,3231772,1204104
3231772,3238079,137027
3238079,3253845,434303
3253845,3534792,8020369
3534792,3576553,1273238
3026450,3027707,15999
3027707,3064760,768587
3064760,3083123,324678
3083123,3121698,618501
3121698,3151811,758615
3151811,3154363,39505
3154363,3196862,1263961
3196862,3206013,272346
3206013,3243403,1035612
3243403,3314666,2057691
3314666,3330078,302433
3330078,3340225,243962
3340225,3346357,166682
3346357,3363385,485216
3363385,3366550,94462
3366550,3383768,478563
3383768,3581907,5927855
3029658,3033581,87269
3033581,3045677,257082
3045677,3054302,175829
3054302,3065198,190742
3065198,3065220,258
3065220,3078722,243307
3078722,3107972,438567
3107972,3138134,668071
3138134,3154002,380280
3154002,3176376,665849
3176376,3196581,597494
3196581,3213178,481223
3213178,3214382,54269
3214382,3214909,9163
3214909,3215115,3239
3215115,3235652,578586
3235652,3266583,868570
3266583,3278568,346655
3278568,3301797,693481
3301797,3348581,1121294
3348581,3414789,1858301
3414789,3424263,239123
3424263,3457163,1010127
3457163,3468226,351737
3583298,3583301,63
3583301,3583309,315
3188236,3373706,5111763
3373706,3434137,1654363
3434137,3434147,169
3434147,3465908,1021449
3465908,3526129,1822857
3526129,3532699,193730
3265864,3396893,3585605
3396893,3396949,960
3396949,3397043,1705
3397043,3397047,55
3397047,3397075,478
3397075,3397140,956
3397140,3397303,3027
3397303,3397668,6133
3205495,3205514,423
3205514,3205519,67
3205519,3205524,157
3205524,3205546,270
3339830,3494308,4552783
3001429,3010004,204589
3010004,3010173,16968
3010173,3018818,208196
3018818,3036265,379423
3036265,3044123,165041
3044123,3064625,413443
3064625,3070067,93044
3070067,3083348,235406
3083348,3088642,81993
3088642,3099409,132621
3099409,3120258,381021
3120258,3129395,196298
3129395,3138438,243125
3138438,3141022,42661
3141022,3144608,83910
3144608,3155558,306606
3155558,3160708,118920
3160708,3163861,90180
3163861,3169929,183060
3169929,3175608,167559
3175608,3187824,384174
3187824,3191491,102255
3191491,3197142,168819
3197142,3201680,115596
3201680,3207836,218057
3207836,3253718,1251252
3253718,3268130,425495
3268130,3274361,176302
3274361,3282522,247780
3282522,3282539,286
3282539,3282973,7339
3282973,3283052,1698
3283052,3287293,147680
3287293,3296154,266203
3296154,3302910,185202
3302910,3333627,700895
3333627,3333827,3906
3333827,3346099,322019
3346099,3354083,203669
3354083,3355515,54463
3355515,3364057,248279
3364057,3368319,110367
3368319,3382718,424228
3382718,3407187,696363
3407187,3420370,344044
3420370,3420426,832
3420426,3420957,10082
3420957,3428975,220393
3428975,3441555,359847
3441555,3443982,79107
3443982,3446228,75815
3446228,3452574,196235
3452574,3452966,8126
3452966,3463543,344232
3463543,3467260,116206
3467260,3475348,259707
3475348,3477874,87518
3477874,3486103,287202
3486103,3497249,348176
3497249,3501098,99815
3501098,3501649,9715
3501649,3515836,404490
3515836,3515874,934
3515874,3522294,182218
3522294,3525225,89395
3525225,3525617,8062
3525617,3525639,330
3525639,3530508,156283
3530508,3570437,1162086
3570437,3574441,145320
3073890,3111238,588267
3111238,3111284,541
3111284,3123490,214860
3123490,3197059,2039694
3197059,3266417,1981281
3266417,3266467,1057
3023233,3023248,191
3023248,3071553,977128
3566720,3566734,248
3566734,3566797,839
3566797,3566828,475
3030838,3047556,351497
3047556,3080782,606587
3080782,3131402,916343
3131402,3132837,23951
3132837,3139446,169732
3139446,3170193,842650
3170193,3173708,99255
3173708,3180424,186710
3180424,3185388,157597
3185388,3203514,531756
3203514,3205428,71346
3205428,3213576,250063
3213576,3231791,511784
3231791,3240201,200605
3240201,3240228,540
3240228,3240272,687
3240272,3240673,5639
3240673,3240767,1131
3240767,3240795,554
3240795,3242661,63144
3242661,3251740,259901
3251740,3252377,10812
3252377,3273205,605165
3273205,3308213,1030300
3308213,3316885,194339
3316885,3317025,1979
3317025,3320162,72834
3320162,3329326,185685
3329326,3329432,1428
3329432,3331115,57444
3331115,3338451,167852
3338451,3338679,4558
3338679,3345869,183073
3345869,3346015,2127
3346015,3346398,6222
3346398,3348027,56708
3348027,3348155,4154
3348155,3352169,103842
3352169,3358267,169027
3358267,3362240,103432
3362240,3367667,163919
3367667,3368084,7101
3368084,3369523,56674
3369523,3379291,276536
3379291,3384424,158183
3384424,3385785,25815
3385785,3388580,81683
3388580,3393262,149435
3393262,3400963,202062
3400963,3410953,268414
3410953,3430005,499554
3430005,3435645,164779
3435645,3442235,189564
3442235,3443400,51819
3443400,3444846,30310
3444846,3444942,1929
3444942,3452396,250520
3452396,3466514,447668
3466514,3469496,93300
3469496,3471166,65522
3471166,3476409,170469
3476409,3481382,170228
3481382,3491149,321227
3491149,3493205,45014
3493205,3500415,229918
3500415,3500676,4439
3500676,3511129,272850
3511129,3514801,97799
3514801,3519662,153522
3519662,3522963,93191
3522963,3530563,241972
3530563,3542211,345316
3542211,3546908,115381
3546908,3552475,168573
3552475,3564859,355746
3564859,3571024,218553
3571024,3572382,28311
3572382,3580506,267810
3580506,3581466,53605
3581466,3586588,176654
3586588,3589193,83691
3589193,3589523,6515
3589523,3589778,4641
3065613,3068018,60710
3068018,3075600,113901
3075600,3075621,304
3075621,3094610,310367
3094610,3154629,1252088
3154629,3164029,261740
3164029,3173441,306211
3173441,3183552,281540
3183552,3238415,1575617
3238415,3267483,838257
3267483,3278139,321217
3278139,3291629,386757
3291629,3324478,846672
3324478,3326426,49540
3326426,3343153,384592
3343153,3347215,98268
3347215,3368299,599487
3368299,3435536,1877421
3435536,3451493,506922
3451493,3451545,1192
3451545,3469257,554079
3469257,3489364,669521
3489364,3491276,68093
3491276,3524963,962353
3524963,3581797,1731691
3007186,3017061,216235
3017061,3017163,2711
3017163,3017217,1707
3009330,3011550,69465
3011550,3013114,23633
3013114,3015130,60701
3015130,3016858,25228
3016858,3022151,142502
3022151,3029044,161174
3029044,3033358,94840
3033358,3034892,18847
3034892,3035350,6568
3035350,3035859,7072
3035859,3045710,227956
3045710,3045737,275
3045737,3054494,177329
3054494,3057324,40741
3057324,3057361,1368
3057361,3058605,39603
3058605,3062144,61083
3062144,3062154,1772
3062154,3062399,12450
3062399,3065734,37422
3065734,3067867,57482
3067867,3080094,192491
3080094,3080829,7219
3080829,3080874,414
3080874,3083267,57931
3083267,3092264,114245
3092264,3101621,152178
3101621,3102436,7368
3102436,3106889,77769
3106889,3106942,389
3106942,3110696,49197
3110696,3112545,40176
3112545,3113215,6808
3113215,3118867,99400
3118867,3118931,825
3118931,3132426,326533
3132426,3135696,86398
3135696,3136740,14299
3136740,3147926,271695
3147926,3148882,49805
3148882,3148994,1848
3148994,3149007,145
3149007,3149055,970
3149055,3149057,56
3149057,3149127,1148
3149127,3149393,4285
3149393,3152994,89115
3152994,3156724,92938
3156724,3159591,82767
3159591,3167186,208675
3167186,3176384,296032
3176384,3176422,568
3176422,3177678,20859
3177678,3179147,60690
3179147,3179168,494
3179168,3179940,14541
3179940,3179977,727
3179977,3182496,79049
3182496,3202993,608067
3202993,3204588,30696
3204588,3206867,75392
3206867,3206987,1984
3206987,3207095,2075
3207095,3215965,265830
3215965,3218062,71745
3218062,3219105,27918
3219105,3219397,28882
3219397,3220266,17393
3220266,3220417,2663
3220417,3220598,3223
3220598,3220916,4924
3220916,3220931,235
3220931,3222811,69343
3222811,3223237,7141
3223237,3223503,5318
3223503,3225860,76331
3225860,3236176,256273
3236176,3244241,192831
3244241,3254104,281112
3254104,3256720,75065
3256720,3256755,815
3256755,3257294,39127
3257294,3259290,40149
3259290,3264129,154704
3264129,3267755,97019
3267755,3267870,2008
3267870,3267888,262
3267888,3269846,67505
3269846,3274358,112713
3274358,3274763,9929
3274763,3288392,415215
3288392,3294325,178720
3294325,3298543,142404
3298543,3298765,3697
3298765,3302369,96280
3302369,3303168,14231
3303168,3303451,4301
3303451,3304549,49365
3304549,3305806,22523
3305806,3306274,8038
3306274,3306393,1801
3306393,3310012,94431
3310012,3311544,56282
3311544,3312512,13587
3312512,3314102,30927
3314102,3314911,35901
3314911,3315505,7670
3315505,3316276,9986
3316276,3317100,12049
3317100,3321479,89327
3321479,3324719,73985
3324719,3329016,89705
3329016,3329220,3025
3329220,3330699,52832
3330699,3331937,18135
3331937,3332720,9951
3332720,3333499,10843
3333499,3334270,28733
3334270,3336108,42166
3336108,3337362,16238
3337362,3346244,243107
3346244,3347929,53068
3347929,3349032,27053
3349032,3350729,30508
3350729,3351062,32595
3351062,3351079,898
3351079,3351407,9050
3351407,3354363,79294
3354363,3354364,17
3354364,3355271,19133
3355271,3355723,7172
3355723,3356502,12112
3356502,3358972,77193
3358972,3362478,95285
3362478,3365801,92177
3365801,3367241,60128
3367241,3371397,106756
3371397,3372243,45322
3372243,3378505,181512
3378505,3390320,344404
3390320,3395064,116977
3395064,3395069,103
3395069,3395091,530
3395091,3396443,57460
3396443,3397152,12730
3397152,3397166,357
3397166,3399351,70699
3399351,3399476,2720
3399476,3399545,1252
3399545,3406681,189322
3406681,3406753,1433
3406753,3410698,97190
3410698,3413420,77140
3413420,3415600,68205
3415600,3415769,2778
3415769,3416728,15435
3416728,3417426,11478
3417426,3418353,45992
3418353,3420895,42998
3420895,3421634,36712
3421634,3423124,27703
3423124,3429117,159996
3429117,3436748,200736
3436748,3439490,83709
3439490,3440329,18343
3440329,3442863,79668
3442863,3444766,68452
3444766,3444902,2797
3444902,3447787,91422
3447787,3449637,70062
3449637,3450651,20941
3450651,3451651,53161
3451651,3456724,165527
3456724,3459962,100757
3459962,3460154,4023
3460154,3460168,288
3460168,3462614,81240
3462614,3463369,15719
3463369,3465268,70871
3465268,3468850,104708
3468850,3473316,153914
3473316,3479054,182755
3479054,3481267,80746
3481267,3482458,22722
3482458,3487047,158624
3487047,3493131,185574
3493131,3495036,67541
3495036,3500698,168655
3500698,3500734,582
3500734,3501466,12723
3501466,3502047,9228
3502047,3504252,72334
3504252,3504626,6439
3504626,3515962,322295
3515962,3519717,101295
3519717,3525394,171924
3525394,3533630,252473
3533630,3540385,189974
3540385,3551335,328385
3551335,3551382,1056
3551382,3573981,687040
3573981,3576824,93277
3576824,3580012,98931
3580012,3581589,67231
3581589,3583048,30995
3042855,3047698,94445
3047698,3060204,252890
3060204,3105453,745383
3105453,3171174,1578595
3171174,3376046,5696282
3376046,3427033,1392669
3055086,3239976,4403159
3239976,3239996,417
3239996,3536830,8463630
3536830,3555487,534580
3428103,3428143,1057
3096404,3164209,1507391
3020623,3020721,1967
3020721,3067635,997033
3067635,3089283,349690
3089283,3095646,89148
3095646,3165381,1561046
3165381,3205186,1195633
3205186,3205229,1111
3205229,3271874,1864123
3271874,3292818,647767
3292818,3430716,3649959
3430716,3486155,1783733
3486155,3486164,119
3221089,3296497,2152336
3102717,3102829,1069
3102829,3112676,165233
3112676,3225201,3096539
3225201,3286605,1703196
3241538,3253280,337198
3253280,3268853,450072
3268853,3337926,1815465
3337926,3343944,158109
3343944,3352906,250379
3352906,3379804,773937
3379804,3388698,259222
3388698,3388761,1032
3388761,3396989,246250
3396989,3426310,775982
3426310,3433091,180249
3433091,3457441,771247
3457441,3497979,1300329
3497979,3513626,428274
3023732,3029629,150507
3029629,3040802,248447
3040802,3105560,1121226
3105560,3152074,1044127
3152074,3159163,182334
3159163,3179292,597102
3179292,3207823,856818
3207823,3261171,1488205
3261171,3271950,299282
3271950,3310403,1118012
3310403,3326032,337483
3326032,3363932,997784
3363932,3366547,79301
3366547,3373522,193473
3373522,3384034,311907
3384034,3401505,484993
3401505,3413137,325697
3413137,3419849,173527
3419849,3419934,1201
3419934,3421360,28465
3421360,3464069,1283606
3464069,3464073,40
3464073,3468423,151936
3468423,3468478,1274
3468478,3469134,13599
3469134,3488790,659827
3488790,3488811,618
3488811,3508552,550490
3508552,3539281,924724
3539281,3545785,177440
3545785,3547847,68804
3547847,3547853,190
3547853,3550954,92984
3550954,3551648,12637
3551648,3557910,184426
3557910,3561070,94920
3561070,3571664,324469
3571664,3581158,326394
3581158,3586726,188183
3311557,3311694,2121
3007224,3008988,26317
3008988,3023423,343690
3023423,3046073,504451
3046073,3064967,359206
3064967,3069153,79299
3069153,3079139,170194
3079139,3080527,12968
3080527,3127846,808377
3127846,3142729,387520
3142729,3143073,4086
3143073,3143763,9266
3143763,3147089,85013
3147089,3159185,330705
3159185,3159206,422
3159206,3159243,575
3159243,3176338,509598
3176338,3182650,180466
3182650,3194926,355556
3194926,3210870,499427
3210870,3213117,41825
3213117,3225914,400545
3225914,3240823,359968
3240823,3292956,1538190
3292956,3316192,614576
3316192,3316429,3710
3316429,3324856,174693
3324856,3341150,364475
3341150,3360001,516394
3360001,3409336,1435406
3409336,3445209,969071
3445209,3468726,769989
3468726,3472567,114224
3472567,3511887,1195542
3511887,3569692,1717569
3569692,3572542,90113
3052154,3080811,515461
3017214,3017722,35877
3017722,3017851,2283
3017851,3020471,36908
3020471,3108608,1629536
3108608,3111730,66480
3111730,3114351,28188
3114351,3114376,290
3114376,3265537,4154235
3265537,3271087,163675
3271087,3281647,323207
3281647,3395810,3060946
3395810,3400808,150085
3400808,3408993,239942
3408993,3512078,3058360
3512078,3554583,1269236
3010220,3012110,36925
3012110,3015929,86487
3015929,3018120,66133
3018120,3019802,22482
3019802,3019872,922
3019872,3021866,63443
3021866,3022083,3057
3022083,3022899,10800
3022899,3025395,68396
3025395,3027593,29400
3027593,3027724,1758
3027724,3030821,77506
3030821,3032178,19393
3032178,3035540,77632
3035540,3037993,67258
3037993,3040734,66842
3040734,3041988,17754
3041988,3043629,19705
3043629,3043913,4215
3043913,3049971,144819
3049971,3051320,15963
3051320,3052105,8824
3052105,3052118,224
3052118,3056303,85928
3056303,3056781,6973
3056781,3058109,48053
3058109,3060388,24795
3060388,3063276,67039
3063276,3065446,22900
3065446,3065511,741
3065511,3066991,40952
3066991,3068635,27128
3068635,3069605,10591
3069605,3079816,170919
3079816,3081043,12229
3081043,3085046,71882
3085046,3086194,10906
3086194,3088348,52909
3088348,3094024,71176
3094024,3103517,133677
3103517,3104139,7192
3104139,3105491,43800
3105491,3105844,5868
3105844,3106233,4301
3106233,3107354,9766
3107354,3109327,19666
3109327,3110888,45831
3110888,3113499,30354
3113499,3115729,56574
3115729,3117147,19904
3117147,3118412,14060
3118412,3120785,63958
3120785,3121506,8883
3121506,3121606,1379
3121606,3121769,1817
3121769,3122188,5186
3122188,3124424,63173
3124424,3124439,343
3124439,3124983,7736
3124983,3124993,243
3124993,3129976,106730
3129976,3130293,5098
3130293,3132587,71101
3132587,3134645,62704
3134645,3136387,30351
3136387,3136609,2964
3136609,3136975,5926
3136975,3142764,155835
3142764,3142974,2426
3142974,3143199,2993
3143199,3143629,5535
3143629,3147816,99129
3147816,3147895,1504
3147895,3148355,29833
3148355,3148805,19226
3148805,3151635,70946
3151635,3151675,3516
3151675,3152014,10019
3152014,3154148,31352
3154148,3154171,322
3154171,3157327,84932
3157327,3158084,15588
3158084,3159197,51570
3159197,3161623,73579
3161623,3162024,8321
3162024,3162555,9192
3162555,3163057,7846
3163057,3164190,27104
3164190,3165355,48782
3165355,3165378,334
3165378,3165492,1570
3165492,3165533,709
3165533,3165540,97
3165540,3167456,66816
3167456,3169024,30219
3169024,3169511,8577
3169511,3170286,49089
3170286,3170468,4267
3170468,3171150,12131
3171150,3175588,115242
3175588,3176731,53595
3176731,3176769,703
3176769,3177397,10276
3177397,3178250,14627
3178250,3179212,51347
3179212,3179648,8658
3179648,3180815,19025
3180815,3181014,3863
3181014,3181071,1221
3181071,3181394,6302
3181394,3181724,15767
3181724,3182046,29386
3182046,3185414,95440
3185414,3186740,21807
3186740,3189306,80587
3189306,3189346,579
3189346,3190436,29018
3190436,3191101,38083
3191101,3191762,12175
3191762,3195234,94886
3195234,3195846,10766
3195846,3197157,58298
3197157,3197227,968
3197227,3197238,116
3197238,3198288,17605
3198288,3198317,332
3198317,3199887,64115
3199887,3201029,19575
3201029,3203164,76665
3203164,3203287,1796
3203287,3203360,1221
3203360,3203653,5276
3203653,3205035,57950
3205035,3205740,16782
3205740,3205922,2904
3205922,3209033,91803
3209033,3209081,703
3209081,3209426,6066
3209426,3209541,1941
3209541,3209569,489
3209569,3210507,41436
3210507,3210686,12262
3210686,3210746,1959
3210746,3211290,11517
3211290,3211636,5580
3211636,3211670,543
3211670,3212552,15234
3212552,3212629,1361
3212629,3213452,45219
3213452,3215388,39123
3215388,3216664,56589
3216664,3217547,17329
3217547,3217931,6814
3217931,3217939,74
3217939,3218060,2155
3218060,3220297,74757
3220297,3220647,6109
3220647,3222239,62657
3222239,3223221,17920
3223221,3224084,15485
3224084,3229565,156786
3229565,3236290,167712
3236290,3236676,5797
3236676,3237643,15189
3237643,3239283,58968
3239283,3239714,6595
3239714,3241179,21640
3241179,3242382,52251
3242382,3242685,5368
3242685,3243191,8858
3243191,3244086,14176
3244086,3246373,72640
3246373,3246419,665
3246419,3246518,2211
3246518,3251276,145000
3251276,3252470,28286
3252470,3253701,21581
3253701,3253783,1904
3253783,3254262,37850
3254262,3254722,13828
3254722,3255136,6983
3255136,3256438,21039
3256438,3257484,53561
3257484,3258404,16835
3258404,3258600,3446
3258600,3259487,16074
3259487,3260522,53494
3260522,3260628,1724
3260628,3261094,8779
3261094,3261548,7879
3261548,3261637,1433
3261637,3262277,10664
3262277,3263949,63719
3263949,3264741,14419
3264741,3267712,85635
3267712,3268915,26021
3268915,3268922,314
3268922,3268938,1171
3268938,3269905,43787
3269905,3269982,1054
3269982,3272123,68422
3272123,3272844,16030
3272844,3273508,11218
3273508,3274466,17107
3274466,3275099,43064
3275099,3277075,37731
3277075,3278264,54736
3278264,3278334,1423
3278334,3279912,27408
3279912,3279956,875
3279956,3281229,56482
3281229,3281530,6077
3281530,3285013,97887
3285013,3288321,96254
3288321,3288466,2436
3288466,3288909,9670
3288909,3290046,55087
3290046,3290818,14013
3290818,3291235,7782
3291235,3291569,6665
3291569,3292516,51684
3292516,3292608,1587
3292608,3297349,119006
3297349,3297795,10457
3297795,3298985,51381
3298985,3300206,20481
3300206,3301833,63354
3301833,3302004,2740
3302004,3302423,6710
3302423,3302583,2896
3302583,3303127,9649
3303127,3305131,66192
3305131,3308045,81348
3308045,3308432,7002
3308432,3310471,43098
3310471,3311123,34413
3311123,3312807,23767
3312807,3313634,12695
3313634,3316107,65048
3316107,3316596,7171
3316596,3316890,4238
3316890,3318355,52345
3318355,3323984,105731
3323984,3324651,7091
3324651,3325239,7965
3325239,3326476,44944
3326476,3331448,105894
3331448,3331545,1186
3331545,3331671,1406
3331671,3331799,1613
3331799,3332403,7114
3332403,3333507,15346
3333507,3335872,67873
3335872,3336790,11569
3336790,3337233,5857
3337233,3339011,60699
3339011,3339522,9282
3339522,3340634,15719
3340634,3340736,1957
3340736,3341534,43863
3341534,3342017,11503
3342017,3343504,23049
3343504,3344528,19430
3344528,3345348,44889
3345348,3345504,2390
3345504,3345586,1838
3345586,3346896,20118
3346896,3351985,153801
3351985,3353503,23408
3353503,3353677,2742
3353677,3355371,63303
3355371,3356910,24898
3356910,3357007,2700
3357007,3359656,78669
3359656,3361144,60176
3361144,3361529,7567
3361529,3361883,6330
3361883,3362053,2793
3362053,3362191,2351
3362191,3364084,65944
3364084,3364767,12338
3364767,3365685,16119
3365685,3366027,8458
3366027,3367165,52912
3367165,3367388,3782
3367388,3368087,12376
3368087,3368878,13235
3368878,3369469,41834
3369469,3369773,7780
3369773,3370250,8831
3370250,3371496,22288
3371496,3371634,3111
3371634,3372294,41981
3372294,3373536,25341
3373536,3374237,11930
3374237,3374880,13394
3374880,3375794,48069
3375794,3376749,17371
3376749,3378901,71365
3378901,3381563,81210
3381563,3381853,5306
3381853,3381872,235
3381872,3382996,19540
3382996,3388086,158092
3388086,3390704,80773
3390704,3391582,15285
3391582,3393358,63477
3393358,3393489,2325
3393489,3393498,147
3393498,3393610,2343
3393610,3395641,36306
3395641,3397875,72154
3397875,3400114,73066
3400114,3406571,176473
3406571,3409484,81687
3409484,3411242,30891
3411242,3411642,31053
3411642,3412083,12354
3412083,3414439,39929
3414439,3414982,35490
3414982,3416454,28338
3416454,3417776,21973
3417776,3418319,38663
3418319,3420394,35221
3420394,3420599,3817
3420599,3423342,72765
3423342,3424835,24001
3424835,3427859,79573
3427859,3429416,58774
3429416,3430074,11734
3430074,3430708,11419
3430708,3430770,1145
3430770,3433013,71094
3433013,3436377,93042
3436377,3436769,7587
3436769,3438117,57046
3438117,3438522,8149
3438522,3440872,77699
3440872,3440904,686
3440904,3442027,20856
3442027,3443265,36122
3443265,3446267,111260
3446267,3449116,90670
3449116,3451654,85450
3451654,3457306,181218
3457306,3457417,1876
3457417,3459320,65775
3459320,3459887,15977
3459887,3462361,81180
3462361,3462699,7062
3462699,3462890,3555
3462890,3468696,182905
3468696,3468775,1838
3468775,3469494,15020
3469494,3471063,63535
3471063,3473932,89569
3473932,3474129,3740
3474129,3474483,6742
3474483,3474758,4961
3474758,3475656,50537
3475656,3476299,14525
3476299,3476870,12333
3476870,3479646,90044
3479646,3480586,50706
3480586,3481014,12058
3481014,3486553,176977
3486553,3488162,32203
3488162,3491071,102891
3491071,3491185,18635
3491185,3492066,21295
3492066,3492314,4341
3492314,3492320,214
3492320,3492439,2268
3492439,3493025,11358
3493025,3493706,15219
3493706,3494628,46883
3494628,3494688,840
3494688,3494703,312
3494703,3494922,4053
3494922,3494969,890
3494969,3494994,570
3494994,3497610,83034
3497610,3497699,1862
3497699,3498071,7012
3498071,3498319,4453
3498319,3499201,17674
3499201,3504719,158229
3504719,3505092,6215
3505092,3505133,569
3505133,3505406,5018
3505406,3506911,55133
3506911,3508924,33641
3508924,3509582,39643
3509582,3512815,90674
3512815,3513785,18048
3513785,3514033,4317
3514033,3516216,73156
3516216,3516339,2258
3516339,3516445,2210
3516445,3516875,7773
3516875,3516963,1525
3516963,3519200,72747
3519200,3519554,6370
3519554,3521438,38508
3521438,3523142,59721
3523142,3525078,69811
3525078,3527322,75132
3527322,3527348,675
3527348,3527352,73
3527352,3527550,4039
3527550,3527551,2
3527551,3534925,202478
3534925,3535342,9143
3535342,3536176,46384
3536176,3536188,373
3536188,3539668,99125
3539668,3540616,15944
3540616,3542515,64926
3542515,3543055,8805
3543055,3543674,10630
3543674,3547333,100740
3547333,3548719,56783
3548719,3549280,10218
3549280,3549640,6732
3549640,3549750,2012
3549750,3551478,65858
3551478,3551854,6833
3551854,3553564,59667
3553564,3555869,47164
3555869,3556421,38898
3556421,3557566,27116
3557566,3559138,56774
3559138,3559450,11937
3559450,3559717,6756
3559717,3560247,10767
3560247,3561550,28610
3561550,3561671,7399
3561671,3562427,36320
3562427,3562530,805
3562530,3564745,33465
3564745,3565093,8978
3565093,3565096,51
3565096,3565882,44137
3565882,3568818,90234
3568818,3571597,89182
3571597,3573609,71582
3573609,3573800,5442
3573800,3573943,2606
3573943,3574735,16943
3574735,3575944,36142
3575944,3576203,25724
3576203,3582906,209463
3582906,3583457,22429
3583457,3585776,75141
3585776,3586370,43135
3586370,3587162,16186
3587162,3587437,5894
3587437,3587439,16
3587439,3587847,8676
3587847,3588541,26639
3588541,3589496,37466
3589496,3589758,4597
3589758,3590288,10552
3590288,3590551,5374
3007897,3047098,876338
3047098,3122404,1296129
3122404,3137406,361588
3137406,3168619,844951
3168619,3192793,706603
3192793,3233362,1191941
3233362,3236256,78158
3236256,3257341,589675
3257341,3258595,25479
3258595,3311489,1543289
3311489,3327214,342259
3327214,3339892,277293
3339892,3468477,3706717
3468477,3515152,1406767
3515152,3588422,2252122
3588422,3588427,56
3588427,3588428,53
3097727,3571801,13205953
3571801,3574615,90157
3297020,3297056,547
3297056,3297064,95
3259937,3277326,503575
3009226,3010551,54837
3010551,3010560,276
3010560,3030800,455060
3030800,3048043,357992
3048043,3051591,78956
3051591,3060013,167437
3060013,3065364,93104
3065364,3065409,564
3065409,3066118,8250
3066118,3066121,8
3066121,3069334,68478
3069334,3071952,59779
3071952,3091094,286853
3091094,3091293,1720
3091293,3091309,115
3091309,3091311,13
3091311,3091333,195
3091333,3093584,24477
3093584,3108684,237037
3108684,3122148,254624
3122148,3122351,2592
3122351,3134659,315693
3134659,3136432,30327
3136432,3139352,78724
3139352,3139466,2103
3139466,3147101,181483
3147101,3153549,169530
3153549,3166407,352827
3166407,3166590,3301
3166590,3171081,152761
3171081,3171164,1210
3171164,3179998,260352
3179998,3192467,359613
3192467,3242579,1440646
3242579,3283956,1203639
3283956,3286976,91634
3286976,3288739,34242
3288739,3307404,550975
3307404,3310235,62285
3310235,3321015,245506
3321015,3324920,82392
3324920,3336166,253392
3336166,3339791,87891
3339791,3339868,886
