customer_id,n_cards,n_txns,first_seen,last_seen
C00037,1,19,2016-07-06 12:23:21,2016-12-22 17:01:33
C00038,1,16,2016-08-11 16:22:32,2016-12-28 13:49:39
C00039,1,1,2016-08-27 00:17:52,2016-08-27 00:17:52
C00040,1,2,2016-07-05 19:58:33,2016-08-03 20:10:27
C00041,1,1,2016-12-09 04:12:23,2016-12-09 04:12:23
C00042,1,3,2016-07-28 03:40:23,2016-11-22 04:17:46
C00043,1,4,2016-07-26 17:36:26,2016-08-07 16:03:28
C00044,1,15,2016-07-18 03:18:36,2016-12-31 20:49:11
C00045,1,22,2016-07-03 21:13:34,2016-12-28 17:40:04
C00046,1,3,2016-10-28 17:58:53,2016-11-05 13:14:23
C00047,1,2,2016-08-01 01:56:50,2016-08-10 04:04:24
C00048,1,1,2016-07-11 20:12:47,2016-07-11 20:12:47
C00049,1,1,2016-07-13 02:19:57,2016-07-13 02:19:57
C00050,1,93,2016-07-04 21:42:28,2016-12-18 18:40:31
C00051,1,42,2016-07-02 16:05:54,2016-12-29 22:01:35
C00052,1,2,2016-07-21 22:44:27,2016-12-19 14:02:54
C00053,1,1,2016-11-09 12:58:57,2016-11-09 12:58:57
C00054,1,1,2016-07-17 17:55:44,2016-07-17 17:55:44
C00055,1,2,2016-07-28 12:49:49,2016-10-13 20:35:35
C00056,1,32,2016-07-21 18:52:53,2016-12-29 03:17:44
C00057,2,46,2016-07-06 00:15:00,2016-12-28 16:20:43
C00058,1,1,2016-07-14 22:03:11,2016-07-14 22:03:11
C00059,2,589,2016-07-02 17:43:33,2016-12-29 13:13:40
C00060,1,30,2016-07-07 20:10:22,2016-12-23 21:50:18
C00061,1,2,2016-07-11 16:44:15,2016-10-29 23:34:45
C00062,1,1,2016-12-15 03:44:57,2016-12-15 03:44:57
C00063,1,6,2016-07-16 14:30:11,2016-10-05 00:40:06
C00064,1,2,2016-10-18 20:56:05,2016-11-16 02:42:53
C00065,1,1,2016-11-18 01:03:49,2016-11-18 01:03:49
C00066,1,1,2016-10-01 06:48:43,2016-10-01 06:48:43
C00067,1,7,2016-07-03 00:25:44,2016-12-26 17:49:26
C00068,1,4,2016-07-03 18:07:43,2016-10-27 13:15:21
C00069,1,18,2016-07-14 12:54:39,2016-12-19 14:31:45
C00070,1,4,2016-08-04 20:32:10,2016-10-17 01:21:51
C00071,1,15,2016-07-25 04:04:16,2016-11-30 00:39:49
C00072,1,10,2016-09-01 06:42:48,2016-11-20 19:22:01
C00073,2,101,2016-07-08 20:42:24,2016-12-31 02:24:59
C00074,1,2,2016-10-28 21:06:48,2016-11-21 21:38:30
C00075,1,1,2016-09-06 20:37:07,2016-09-06 20:37:07
C00076,1,11,2016-07-14 18:17:17,2016-11-04 16:07:17
C00077,1,1,2016-10-30 00:44:40,2016-10-30 00:44:40
C00078,2,3,2016-09-10 12:15:06,2016-11-06 21:19:17
C00079,1,9,2016-10-18 22:40:01,2016-12-27 15:12:58
C00080,1,1,2016-11-08 12:54:03,2016-11-08 12:54:03
C00081,2,50,2016-07-02 22:16:22,2016-12-28 00:34:49
C00082,1,3,2016-07-23 21:13:47,2016-10-20 23:56:36
C00083,1,3,2016-07-15 20:27:06,2016-08-18 01:29:26
C00084,1,2,2016-08-19 12:26:44,2016-08-19 21:47:31
C00085,1,2,2016-12-10 16:04:17,2016-12-18 21:05:53
C00086,1,5,2016-07-24 16:29:44,2016-12-28 18:00:26
C00087,1,6,2016-07-28 15:42:00,2016-11-07 02:08:33
C00088,1,4,2016-07-12 21:18:30,2016-08-31 23:14:09
C00089,1,9,2016-07-02 17:53:03,2016-12-28 02:41:45
C00090,1,109,2016-07-03 18:11:59,2016-12-25 17:33:05
C00091,1,1,2016-10-22 19:17:56,2016-10-22 19:17:56
C00092,1,77,2016-07-04 01:17:39,2016-12-17 01:20:11
C00093,1,2,2016-07-18 15:00:01,2016-11-12 01:56:16
C00094,3,809,2016-07-02 03:45:41,2016-12-30 15:26:23
C00095,1,4,2016-09-07 13:06:40,2016-10-12 12:58:51
C00096,1,1,2016-07-28 04:22:07,2016-07-28 04:22:07
C00097,1,5,2016-07-10 15:05:33,2016-07-26 17:31:02
C00098,1,2,2016-07-24 02:11:12,2016-09-03 02:34:19
C00099,1,1,2016-10-31 22:47:41,2016-10-31 22:47:41
C00100,1,1,2016-08-11 21:48:11,2016-08-11 21:48:11
C00101,1,26,2016-07-02 19:37:50,2016-11-09 22:13:14
C00102,1,1,2016-08-26 00:18:55,2016-08-26 00:18:55
C00103,1,13,2016-07-17 01:32:08,2016-12-31 00:33:11
C00104,1,10,2016-07-19 14:45:00,2016-10-07 22:53:45
C00105,1,5,2016-07-17 20:47:17,2016-12-16 01:32:12
C00106,1,26,2016-07-04 01:13:44,2016-12-21 14:22:01
C00107,2,249,2016-07-06 19:35:51,2016-12-31 00:06:55
C00108,1,12,2016-08-01 15:20:05,2016-12-21 17:47:46
C00109,1,1,2016-09-08 23:35:50,2016-09-08 23:35:50
C00110,1,6,2016-09-02 16:40:40,2016-09-28 19:38:26
C00111,1,2,2016-07-21 14:26:13,2016-10-07 20:15:46
C00112,1,8,2016-07-10 20:46:04,2016-10-09 21:47:09
C00113,1,33,2016-07-03 14:43:30,2016-12-24 18:07:50
C00114,1,2,2016-07-18 21:03:16,2016-08-25 20:35:43
C00115,1,1,2016-07-25 15:55:46,2016-07-25 15:55:46
C00116,1,45,2016-08-04 15:18:20,2016-11-23 15:58:07
C00117,1,1,2016-08-28 00:08:47,2016-08-28 00:08:47
C00118,1,2,2016-10-20 16:42:55,2016-10-20 18:56:55
C00119,1,1,2016-12-18 20:14:34,2016-12-18 20:14:34
C00120,1,4,2016-09-15 18:33:54,2016-10-23 00:02:58
C00121,1,1,2016-07-29 14:13:54,2016-07-29 14:13:54
C00122,1,9,2016-08-09 00:36:51,2016-12-10 17:51:26
C00123,1,1,2016-09-05 19:50:27,2016-09-05 19:50:27
C00124,1,2,2016-07-09 02:13:31,2016-10-28 18:34:45
C00125,1,1,2016-11-01 16:00:51,2016-11-01 16:00:51
C00126,1,1,2016-12-07 15:08:51,2016-12-07 15:08:51
C00127,1,1,2016-08-26 19:24:19,2016-08-26 19:24:19
C00128,1,1,2016-07-05 02:00:27,2016-07-05 02:00:27
C00129,2,280,2016-07-02 13:08:11,2016-12-30 17:05:10
C00130,1,1,2016-07-18 16:23:55,2016-07-18 16:23:55
C00131,1,3,2016-10-20 20:01:06,2016-11-13 17:39:03
C00132,1,16,2016-07-20 21:08:27,2016-12-15 17:19:48
C00133,1,1,2016-11-23 22:01:40,2016-11-23 22:01:40
C00134,1,8,2016-07-20 21:58:35,2016-10-03 08:31:37
C00135,1,49,2016-07-09 22:49:27,2016-12-21 14:52:28
C00136,1,14,2016-08-10 03:57:19,2016-12-07 20:08:54
C00137,1,6,2016-07-31 15:38:21,2016-09-10 19:01:02
C00138,1,2,2016-08-23 21:30:24,2016-11-15 23:49:44
C00139,1,2,2016-07-21 18:02:13,2016-12-31 12:47:29
C00140,1,11,2016-08-28 05:39:58,2016-12-26 21:51:54
C00141,1,2,2016-07-10 20:28:54,2016-08-01 01:02:13
C00142,1,2,2016-07-28 20:21:05,2016-07-28 20:39:31
C00143,1,17,2016-07-31 14:24:36,2016-11-30 17:44:26
C00144,1,4,2016-07-07 11:27:09,2016-11-03 22:35:31
C00145,1,1,2016-07-23 11:27:53,2016-07-23 11:27:53
C00146,1,1,2016-08-17 17:05:40,2016-08-17 17:05:40
C00147,1,15,2016-07-06 21:12:55,2016-12-22 17:33:44
C00148,1,1,2016-12-28 13:18:07,2016-12-28 13:18:07
C00149,1,2,2016-07-11 13:48:09,2016-09-01 00:12:07
C00150,1,8,2016-07-11 17:36:53,2016-10-10 15:11:25
C00151,1,2,2016-08-18 03:22:19,2016-09-08 23:02:34
C00152,1,3,2016-07-06 19:33:04,2016-11-22 05:38:40
C00153,1,2,2016-07-26 17:11:21,2016-08-30 15:27:54
C00154,1,1,2016-08-07 15:41:48,2016-08-07 15:41:48
C00155,1,3,2016-07-31 19:49:11,2016-08-06 22:04:11
C00156,1,26,2016-07-09 15:37:48,2016-12-31 19:51:15
C00157,1,17,2016-07-30 21:47:46,2016-12-30 17:53:28
C00158,1,3,2016-08-05 02:35:46,2016-10-11 03:05:55
C00159,1,25,2016-07-04 17:49:18,2016-12-03 19:42:15
C00160,1,6,2016-08-21 08:02:14,2016-12-06 17:32:43
C00161,1,5,2016-07-11 20:17:57,2016-08-01 14:44:46
C00162,1,15,2016-07-06 16:36:53,2016-12-13 20:11:45
C00163,1,6,2016-09-08 18:57:41,2016-12-09 16:53:54
C00164,2,15,2016-07-09 21:44:54,2016-12-03 23:21:57
C00165,1,1,2016-12-22 11:21:16,2016-12-22 11:21:16
C00166,1,1,2016-11-24 19:50:46,2016-11-24 19:50:46
C00167,1,21,2016-07-20 16:58:44,2016-12-07 00:04:31
C00168,2,146,2016-07-12 22:01:59,2016-12-31 21:23:56
C00169,1,12,2016-07-24 02:03:44,2016-10-02 23:40:17
C00170,1,6,2016-10-10 16:09:21,2016-12-29 15:18:18
C00171,1,3,2016-07-20 17:17:01,2016-10-04 19:57:12
C00172,1,1,2016-08-05 22:21:27,2016-08-05 22:21:27
C00173,1,3,2016-07-06 17:54:07,2016-08-06 20:28:11
C00174,1,5,2016-07-21 16:18:22,2016-09-17 06:19:12
C00175,1,13,2016-07-05 17:15:33,2016-10-24 19:22:41
C00176,1,1,2016-10-19 20:36:02,2016-10-19 20:36:02
C00177,1,1,2016-07-27 23:12:54,2016-07-27 23:12:54
C00178,1,7,2016-07-18 23:51:08,2016-11-30 14:49:00
C00179,1,13,2016-07-13 19:55:58,2016-12-23 22:10:29
C00180,1,5,2016-07-07 23:59:22,2016-11-25 18:38:01
C00181,1,59,2016-07-04 16:04:52,2016-12-24 17:06:07
C00182,1,19,2016-07-26 14:10:54,2016-09-15 23:27:08
C00183,1,1,2016-11-16 09:42:48,2016-11-16 09:42:48
C00184,1,8,2016-07-26 00:14:48,2016-12-03 19:25:14
C00185,1,1,2016-07-04 18:19:24,2016-07-04 18:19:24
C00186,1,12,2016-07-10 14:12:58,2016-12-20 18:05:24
C00187,1,1,2016-07-21 14:25:20,2016-07-21 14:25:20
C00188,1,3,2016-07-14 13:19:15,2016-09-09 19:18:04
C00189,1,15,2016-07-03 02:45:24,2016-12-20 01:48:43
C00190,1,1,2016-08-10 01:44:29,2016-08-10 01:44:29
C00191,1,1,2016-07-22 21:43:38,2016-07-22 21:43:38
C00192,1,8,2016-07-05 22:47:47,2016-12-18 15:56:34
C00193,1,1,2016-07-23 04:08:08,2016-07-23 04:08:08
C00194,1,14,2016-07-05 02:45:58,2016-11-18 03:48:55
C00195,1,30,2016-07-02 19:11:06,2016-12-23 12:34:06
C00196,1,2,2016-07-10 05:08:09,2016-07-10 05:09:59
C00197,1,55,2016-07-03 19:47:04,2016-12-21 13:29:30
C00198,1,25,2016-07-08 22:02:36,2016-12-26 20:34:53
C00199,1,4,2016-07-13 02:33:25,2016-11-22 09:52:37
C00200,1,20,2016-07-20 05:08:50,2016-12-27 15:49:08
C00201,1,1,2016-07-30 21:22:34,2016-07-30 21:22:34
C00202,1,12,2016-07-06 19:32:49,2016-12-14 01:01:28
C00203,1,1,2016-09-16 16:19:46,2016-09-16 16:19:46
C00204,1,62,2016-07-04 15:00:01,2016-12-27 19:00:47
C00205,1,8,2016-08-05 01:51:47,2016-12-16 11:09:39
C00206,1,1,2016-12-10 17:19:40,2016-12-10 17:19:40
C00207,1,1,2016-09-18 00:54:04,2016-09-18 00:54:04
C00208,1,2,2016-08-05 22:39:51,2016-10-08 13:42:10
C00209,1,3,2016-07-21 14:04:06,2016-08-09 17:57:12
C00210,1,14,2016-07-06 19:51:55,2016-12-12 16:29:34
C00211,1,1,2016-07-22 18:29:08,2016-07-22 18:29:08
C00212,1,4,2016-07-11 19:11:09,2016-11-03 21:25:48
C00213,1,17,2016-07-02 23:48:03,2016-12-20 12:48:22
C00214,1,20,2016-07-08 18:47:01,2016-12-22 02:02:44
C00215,1,6,2016-12-12 08:42:04,2016-12-12 11:20:20
C00216,1,1,2016-07-08 15:08:10,2016-07-08 15:08:10
C00217,1,3,2016-10-27 18:33:49,2016-10-29 22:48:31
C00218,1,7,2016-07-04 04:17:02,2016-09-26 19:59:19
C00219,1,4,2016-09-13 16:05:11,2016-12-07 19:25:18
C00220,1,2,2016-12-02 15:56:03,2016-12-02 16:20:30
C00221,1,1,2016-12-24 15:32:18,2016-12-24 15:32:18
C00222,1,6,2016-08-20 13:25:10,2016-12-26 16:09:11
C00223,1,63,2016-07-04 12:30:14,2016-12-31 01:41:11
C00224,1,1,2016-07-22 18:53:20,2016-07-22 18:53:20
C00225,1,1,2016-11-06 17:26:43,2016-11-06 17:26:43
C00226,1,2,2016-08-30 16:20:14,2016-09-07 02:06:27
C00227,1,4,2016-07-15 19:40:54,2016-10-18 17:52:01
C00228,1,3,2016-07-18 17:59:16,2016-09-29 17:39:15
C00229,1,10,2016-09-15 22:16:07,2016-10-03 01:55:58
C00230,1,6,2016-07-17 16:14:58,2016-11-11 00:11:36
C00231,2,8,2016-07-07 18:59:50,2016-12-28 18:07:53
C00232,2,158,2016-07-03 15:36:34,2016-12-30 15:50:31
C00233,1,2,2016-07-08 20:33:50,2016-09-02 09:40:17
C00234,1,1,2016-12-14 00:03:36,2016-12-14 00:03:36
C00235,2,1308,2016-07-06 01:52:09,2016-12-31 23:16:18
C00236,1,10,2016-07-10 17:06:24,2016-09-13 18:44:44
C00237,1,4,2016-07-25 16:24:31,2016-08-28 17:37:09
C00238,1,13,2016-07-05 03:01:29,2016-12-15 03:50:20
C00239,1,2,2016-08-02 13:09:11,2016-08-05 14:50:45
C00240,1,1,2016-10-01 15:56:02,2016-10-01 15:56:02
C00241,1,14,2016-07-06 15:16:15,2016-11-01 18:52:35
C00242,1,1,2016-10-06 02:27:28,2016-10-06 02:27:28
C00243,1,3,2016-08-06 18:10:09,2016-12-03 21:46:22
C00244,1,25,2016-07-09 23:09:03,2016-12-22 17:08:54
C00245,1,10,2016-07-07 15:55:03,2016-12-21 17:19:08
C00246,1,10,2016-08-03 22:01:20,2016-12-01 19:32:09
C00247,1,1,2016-08-07 20:46:31,2016-08-07 20:46:31
C00248,1,5,2016-07-22 20:22:18,2016-10-22 21:14:09
C00249,1,34,2016-07-03 01:23:01,2016-12-21 16:58:05
C00250,1,2,2016-09-22 21:42:51,2016-09-22 21:44:51
C00251,1,4,2016-12-24 23:32:37,2016-12-24 23:56:12
C00252,1,1,2016-07-12 03:12:52,2016-07-12 03:12:52
C00253,1,15,2016-08-04 05:20:42,2016-12-22 15:56:12
C00254,1,28,2016-07-14 15:56:57,2016-12-25 23:01:49
C00255,1,28,2016-07-16 23:58:25,2016-12-27 00:35:35
C00256,2,3,2016-09-02 01:10:59,2016-10-31 05:04:07
C00257,1,4,2016-07-17 20:42:45,2016-11-08 15:41:36
C00258,1,8,2016-07-20 19:08:11,2016-11-29 02:37:08
C00259,1,60,2016-07-02 01:17:26,2016-12-28 06:38:33
C00260,1,6,2016-07-10 23:04:05,2016-12-25 16:10:13
C00261,1,1,2016-09-04 00:49:42,2016-09-04 00:49:42
C00262,1,5,2016-08-18 19:40:10,2016-08-20 00:26:41
C00263,1,9,2016-07-08 16:12:57,2016-10-26 17:17:43
C00264,1,4,2016-07-11 21:08:33,2016-12-19 20:37:02
C00265,1,3,2016-09-13 14:38:33,2016-11-24 16:17:56
C00266,1,22,2016-07-11 21:25:32,2016-12-31 17:44:14
C00267,1,18,2016-07-09 19:28:36,2016-12-28 17:46:24
C00268,1,10,2016-10-02 01:35:50,2016-12-28 00:32:38
C00269,1,4,2016-07-17 06:27:58,2016-08-19 00:23:45
C00270,1,6,2016-07-25 18:00:41,2016-11-22 17:12:15
C00271,1,6,2016-08-16 06:50:58,2016-10-01 01:45:30
C00272,1,47,2016-07-02 01:31:44,2016-12-19 21:57:18
C00273,1,9,2016-07-04 02:10:57,2016-10-28 23:55:55
C00274,1,5,2016-07-27 06:58:25,2016-12-23 06:36:06
C00275,1,1,2016-11-20 21:08:11,2016-11-20 21:08:11
C00276,1,23,2016-07-05 19:31:34,2016-12-27 20:17:43
C00277,1,1,2016-07-20 20:58:22,2016-07-20 20:58:22
C00278,1,4,2016-07-31 19:10:38,2016-08-14 20:15:54
C00279,1,1,2016-11-08 02:02:36,2016-11-08 02:02:36
C00280,2,129,2016-07-08 19:26:44,2016-12-30 15:20:33
C00281,1,26,2016-07-04 07:39:28,2016-12-14 11:34:00
C00282,1,2,2016-07-18 20:04:57,2016-07-20 02:58:25
C00283,1,2,2016-10-09 12:05:22,2016-10-09 13:06:41
C00284,1,2,2016-07-23 19:35:56,2016-07-27 02:02:27
C00285,1,6,2016-07-03 15:26:27,2016-08-24 17:55:40
C00286,1,18,2016-07-12 13:13:42,2016-12-23 11:14:58
C00287,1,1,2016-09-05 02:41:25,2016-09-05 02:41:25
C00288,1,25,2016-07-10 17:17:03,2016-11-18 17:52:19
C00289,1,1,2016-07-30 21:36:31,2016-07-30 21:36:31
C00290,1,8,2016-07-15 12:29:31,2016-11-16 18:27:41
C00291,1,1,2016-08-24 23:55:13,2016-08-24 23:55:13
C00292,1,1,2016-11-01 23:45:51,2016-11-01 23:45:51
C00293,1,16,2016-07-16 21:07:46,2016-12-05 00:28:58
C00294,2,1379,2016-07-04 03:15:50,2016-12-31 21:29:10
C00295,1,5,2016-07-18 16:05:48,2016-10-29 00:19:57
C00296,1,8,2016-07-15 20:50:15,2016-12-19 22:16:57
C00297,1,3,2016-08-20 05:58:48,2016-09-27 01:07:58
C00298,1,3,2016-12-29 02:44:13,2016-12-29 02:50:31
C00299,1,11,2016-07-23 18:14:57,2016-12-29 21:24:51
C00300,1,28,2016-07-22 17:14:36,2016-07-23 20:35:02
C00301,1,24,2016-07-03 23:05:17,2016-12-26 13:56:27
C00302,1,2,2016-10-19 18:16:19,2016-11-02 13:56:25
C00303,1,4,2016-12-10 15:51:13,2016-12-15 22:07:57
C00304,1,1,2016-07-11 18:59:32,2016-07-11 18:59:32
C00305,1,1,2016-07-30 02:19:24,2016-07-30 02:19:24
C00306,1,41,2016-07-05 03:10:20,2016-12-26 10:14:06
C00307,1,55,2016-07-04 19:58:56,2016-12-26 19:29:46
C00308,1,2,2016-07-21 18:24:10,2016-07-21 18:42:36
C00309,1,7,2016-08-19 16:53:15,2016-12-11 04:18:46
C00310,1,9,2016-07-12 21:22:39,2016-11-10 01:56:41
C00311,1,4,2016-09-06 22:37:05,2016-10-29 23:10:56
C00312,1,9,2016-07-28 22:37:52,2016-11-16 18:08:20
C00313,1,11,2016-07-07 19:52:32,2016-12-11 20:13:00
C00314,1,1,2016-07-22 01:11:07,2016-07-22 01:11:07
C00315,1,2,2016-08-06 18:09:14,2016-10-31 14:11:36
C00316,1,1,2016-10-23 07:34:07,2016-10-23 07:34:07
C00317,1,1,2016-09-09 18:32:00,2016-09-09 18:32:00
C00318,1,2,2016-10-19 19:40:08,2016-12-23 14:50:33
C00319,1,6,2016-09-20 20:48:52,2016-12-15 03:34:11
C00320,1,1,2016-12-29 17:13:11,2016-12-29 17:13:11
C00321,1,1,2016-11-19 01:08:31,2016-11-19 01:08:31
C00322,1,3,2016-09-14 17:37:05,2016-10-03 20:23:42
C00323,1,5,2016-07-24 03:24:21,2016-12-17 22:52:22
C00324,1,9,2016-09-14 05:30:14,2016-10-25 21:12:13
C00325,1,6,2016-07-28 02:47:57,2016-09-16 00:56:12
C00326,1,5,2016-10-02 15:12:01,2016-12-14 15:34:31
C00327,1,1,2016-11-12 00:14:40,2016-11-12 00:14:40
C00328,1,2,2016-10-04 00:24:40,2016-11-07 17:42:32
C00329,2,1167,2016-07-06 01:14:54,2016-12-31 22:21:46
C00330,1,6,2016-07-10 03:36:50,2016-09-28 14:33:45
C00331,1,310,2016-07-02 03:17:55,2016-12-29 18:37:56
C00332,2,90,2016-07-04 15:58:24,2016-12-29 20:39:17
C00333,1,1,2016-10-06 01:07:45,2016-10-06 01:07:45
C00334,1,1,2016-08-20 02:43:45,2016-08-20 02:43:45
C00335,1,5,2016-08-25 17:17:48,2016-08-25 17:33:05
C00336,1,5,2016-07-25 02:11:53,2016-09-30 22:56:26
C00337,1,12,2016-07-10 04:23:30,2016-11-25 22:04:03
C00338,1,25,2016-07-07 14:24:04,2016-12-24 17:34:58
C00339,1,1,2016-11-23 22:15:07,2016-11-23 22:15:07
C00340,1,11,2016-10-04 23:14:04,2016-12-31 13:26:05
C00341,1,1,2016-09-18 20:58:36,2016-09-18 20:58:36
C00342,1,7,2016-07-07 16:26:49,2016-11-25 05:05:37
C00343,1,1,2016-07-24 16:03:05,2016-07-24 16:03:05
C00344,1,1,2016-07-26 15:12:41,2016-07-26 15:12:41
C00345,1,8,2016-07-18 03:48:17,2016-11-06 05:54:01
C00346,1,4,2016-07-28 05:51:08,2016-12-02 06:37:18
C00347,1,1,2016-08-14 22:18:45,2016-08-14 22:18:45
C00348,1,127,2016-07-04 01:51:08,2016-12-28 23:33:17
C00349,1,4,2016-10-26 16:37:22,2016-12-13 18:57:19
C00350,1,6,2016-07-12 00:18:42,2016-12-05 14:28:30
C00351,1,1,2016-08-18 01:49:15,2016-08-18 01:49:15
C00352,1,10,2016-07-10 16:41:07,2016-11-15 00:40:58
C00353,1,27,2016-07-09 17:19:43,2016-12-13 04:35:07
C00354,1,1,2016-12-04 18:27:46,2016-12-04 18:27:46
C00355,1,4,2016-08-11 17:15:24,2016-09-30 17:42:30
C00356,1,2,2016-07-26 14:13:47,2016-07-26 14:25:00
C00357,1,16,2016-07-08 15:08:25,2016-12-15 22:58:38
C00358,1,1,2016-11-25 23:54:39,2016-11-25 23:54:39
C00359,1,1,2016-07-12 18:25:35,2016-07-12 18:25:35
C00360,1,12,2016-07-19 02:14:20,2016-12-27 21:10:39
C00361,1,3,2016-07-06 17:25:17,2016-08-20 16:39:57
C00362,1,10,2016-07-13 17:12:04,2016-12-31 14:37:53
C00363,1,2,2016-11-29 21:17:54,2016-12-23 22:08:48
C00364,1,35,2016-07-03 18:23:23,2016-12-30 18:03:10
C00365,1,2,2016-10-04 15:20:30,2016-10-15 12:47:54
C00366,1,1,2016-10-04 17:46:01,2016-10-04 17:46:01
C00367,1,1,2016-07-26 15:42:15,2016-07-26 15:42:15
C00368,1,108,2016-07-07 18:54:43,2016-12-30 01:48:47
C00369,1,19,2016-07-05 18:31:31,2016-11-23 21:59:06
C00370,1,5,2016-08-19 01:43:06,2016-11-14 19:34:55
C00371,1,2,2016-11-11 13:26:18,2016-11-28 12:10:05
C00372,1,1,2016-11-04 17:07:05,2016-11-04 17:07:05
C00373,1,2,2016-10-15 13:24:43,2016-10-26 17:06:03
C00374,1,4,2016-07-05 00:57:33,2016-09-25 18:50:47
C00375,1,8,2016-07-25 22:24:40,2016-12-23 14:33:57
C00376,1,2,2016-08-20 15:23:17,2016-09-20 18:37:17
C00377,1,1,2016-10-02 13:12:54,2016-10-02 13:12:54
C00378,1,5,2016-11-07 23:09:26,2016-12-29 02:46:55
C00379,1,1,2016-08-26 04:33:35,2016-08-26 04:33:35
C00380,1,2,2016-08-23 21:12:27,2016-09-04 15:20:37
C00381,1,8,2016-07-15 20:40:45,2016-11-13 19:19:49
C00382,1,13,2016-07-03 01:35:58,2016-11-17 18:55:54
C00383,1,1,2016-08-26 20:52:52,2016-08-26 20:52:52
C00384,1,13,2016-07-03 22:03:05,2016-09-11 04:34:53
C00385,1,5,2016-07-24 03:41:15,2016-12-04 16:36:56
C00386,1,72,2016-07-02 22:59:20,2016-12-22 16:25:58
C00387,1,1,2016-11-19 01:12:43,2016-11-19 01:12:43
C00388,1,2,2016-07-25 14:14:43,2016-08-08 00:15:59
C00389,1,1,2016-08-28 21:44:32,2016-08-28 21:44:32
C00390,1,4,2016-09-18 15:25:43,2016-11-27 16:12:15
C00391,1,1,2016-08-10 16:03:28,2016-08-10 16:03:28
C00392,1,5,2016-08-13 15:26:31,2016-12-07 04:27:11
C00393,1,7,2016-07-09 00:36:52,2016-11-22 20:32:47
C00394,1,4,2016-08-27 01:00:45,2016-12-03 17:11:07
C00395,1,21,2016-07-03 04:47:44,2016-12-22 22:32:38
C00396,1,2,2016-07-19 17:09:50,2016-12-03 20:52:09
C00397,1,8,2016-08-24 18:29:54,2016-11-24 17:55:02
C00398,1,6,2016-09-12 01:53:07,2016-10-19 16:36:10
C00399,1,13,2016-07-17 02:40:35,2016-12-30 16:33:05
C00400,1,44,2016-07-19 13:28:44,2016-12-13 15:08:38
C00401,1,1,2016-11-20 14:55:41,2016-11-20 14:55:41
C00402,1,2,2016-10-06 21:28:29,2016-11-28 14:08:12
C00403,1,7,2016-07-19 14:09:28,2016-08-15 20:34:44
C00404,1,2,2016-09-02 22:36:56,2016-11-27 14:39:26
C00405,1,72,2016-07-14 14:30:00,2016-12-23 16:21:30
C00406,1,35,2016-07-04 20:26:05,2016-12-28 23:18:36
C00407,1,3,2016-07-23 22:16:57,2016-09-28 12:46:16
C00408,1,9,2016-07-23 23:35:42,2016-12-30 06:50:01
C00409,1,71,2016-07-02 19:34:37,2016-12-25 18:30:38
C00410,1,25,2016-07-09 16:58:01,2016-12-20 00:57:51
