device_key,label,device_info,device_type,os,browser,screen,n_txns,n_cards,n_customers
Db5641b872cc5,iOS Device | iOS 11.2.6 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.2.6,mobile safari generic,1334x750,488,226,226
D79a417946ea7,Windows | Windows 10 | chrome 64.0 | 1920x1080,Windows,desktop,Windows 10,chrome 64.0,1920x1080,460,225,225
D1a476e92d96c,Windows | Windows 7 | chrome 62.0 | 1920x1080,Windows,desktop,Windows 7,chrome 62.0,1920x1080,398,223,223
De01027916d1e,mobile safari 10.0,"",mobile,"",mobile safari 10.0,"",612,220,220
D7192df9e557f,Windows | Windows 10 | chrome 66.0 | 1920x1080,Windows,desktop,Windows 10,chrome 66.0,1920x1080,430,215,215
D2a52b90edc74,Windows | Windows 10 | edge 15.0,Windows,desktop,Windows 10,edge 15.0,"",394,214,214
D0e83f0a61762,Windows | Windows 10 | edge 16.0 | 1366x768,Windows,desktop,Windows 10,edge 16.0,1366x768,1249,208,208
Dfff83c7f3b06,Windows | Windows 10 | edge 15.0 | 1920x1080,Windows,desktop,Windows 10,edge 15.0,1920x1080,343,205,205
Df0eef511f97a,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2048x1536,iOS Device,mobile,iOS 10.3.3,mobile safari 10.0,2048x1536,395,203,203
Dcd3fd80b4ede,Windows | Windows 10 | firefox 57.0 | 1920x1080,Windows,desktop,Windows 10,firefox 57.0,1920x1080,408,202,202
Dbbc4ea071dce,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1334x750,iOS Device,mobile,iOS 10.3.3,mobile safari 10.0,1334x750,385,196,196
Da76eca0a782d,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1366x768,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1366x768,357,195,195
D97b65fb10e93,MacOS | Mac OS X 10_12_6 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_12_6,safari generic,1440x900,357,190,190
D49657c4d4959,iOS Device | iOS 11.2.6 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.2.6,mobile safari generic,2208x1242,405,190,190
De9897c2d8a48,chrome 62.0,"",desktop,"",chrome 62.0,"",794,185,185
Db887d77b77b4,iOS Device | iOS 11.3.0 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.3.0,mobile safari 11.0,1334x750,366,183,183
D0a3d455e2128,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1600x900,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1600x900,353,183,183
D14f3477f9270,iOS Device | iOS 11.3.0 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.3.0,mobile safari 11.0,2208x1242,320,176,176
Da8deed7c1a46,chrome 66.0,"",desktop,"",chrome 66.0,"",663,175,171
D2e3c7248cb89,iOS Device | iOS 11.2.5 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.2.5,mobile safari generic,1334x750,329,174,174
D7de5a5db6ab5,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1280x1024,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1280x1024,318,165,165
D277bd60384d3,Windows | Windows 7 | chrome 65.0 | 1920x1080,Windows,desktop,Windows 7,chrome 65.0,1920x1080,294,165,165
Db5ba7e782926,iOS Device | iOS 11.2.5 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.2.5,mobile safari generic,2208x1242,342,165,165
Dd3775532c844,Trident/7.0 | Windows 10 | ie 11.0 for desktop,Trident/7.0,desktop,Windows 10,ie 11.0 for desktop,"",270,163,163
Dca629e9727fd,Windows | firefox 57.0,Windows,desktop,"",firefox 57.0,"",569,163,163
D74dbefda7c09,iOS Device | iOS 11.2.1 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.2.1,mobile safari 11.0,2048x1536,265,163,163
Db1b77522c86a,Windows | Windows 10 | edge 15.0 | 1366x768,Windows,desktop,Windows 10,edge 15.0,1366x768,328,161,161
Db348eeec147d,Windows | edge 16.0,Windows,desktop,"",edge 16.0,"",592,160,158
D71633f458fce,Windows | Windows 7 | chrome 63.0 | 1280x1024,Windows,desktop,Windows 7,chrome 63.0,1280x1024,263,157,157
Dd076d5af3300,Windows | Windows 10 | chrome 65.0 | 1366x768,Windows,desktop,Windows 10,chrome 65.0,1366x768,311,156,156
D6c4ef57a586c,MacOS | Mac OS X 10_11_6 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_11_6,safari generic,1440x900,300,155,155
D154bac3d732e,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 1136x640,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,1136x640,243,151,151
Db7c8eba23659,iOS Device | iOS 11.2.1 | mobile safari 11.0 | 2436x1125,iOS Device,mobile,iOS 11.2.1,mobile safari 11.0,2436x1125,295,151,151
D047919f10fdc,Windows | Windows 7 | chrome 64.0 | 1920x1080,Windows,desktop,Windows 7,chrome 64.0,1920x1080,267,150,150
Da216a4c46216,Windows | Windows 7 | chrome 62.0 | 1366x768,Windows,desktop,Windows 7,chrome 62.0,1366x768,241,143,143
D58fcbd050c59,Windows | chrome generic,Windows,desktop,"",chrome generic,"",854,142,142
De89675003ded,Trident/7.0 | Windows 10 | ie 11.0 for tablet | 1920x1080,Trident/7.0,desktop,Windows 10,ie 11.0 for tablet,1920x1080,225,142,142
D03ab46253463,MacOS | Mac OS X 10_10_5 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_10_5,safari generic,1440x900,265,140,140
D9cc9d3f9384e,iOS Device | iOS 11.1.2 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.1.2,mobile safari generic,1334x750,216,139,139
D2ea77dd4eb1a,iOS Device | iOS 11.2.1 | mobile safari 11.0 | 2001x1125,iOS Device,mobile,iOS 11.2.1,mobile safari 11.0,2001x1125,202,138,138
D409636fcdb4f,MacOS | Mac OS X 10_12_6 | safari generic | 2880x1800,MacOS,desktop,Mac OS X 10_12_6,safari generic,2880x1800,242,137,137
D7105448961ec,iOS Device | iOS 11.2.1 | mobile safari 11.0 | 1136x640,iOS Device,mobile,iOS 11.2.1,mobile safari 11.0,1136x640,234,137,137
Dad622ccc2e91,Windows | Windows 10 | chrome 62.0 | 1600x900,Windows,desktop,Windows 10,chrome 62.0,1600x900,209,135,135
D19c3a88eb18d,iOS Device | iOS 11.2.1 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.2.1,mobile safari generic,1334x750,251,135,135
Da5e88213564a,Windows | Windows 7 | firefox 57.0 | 1920x1080,Windows,desktop,Windows 7,firefox 57.0,1920x1080,237,133,133
De66d3f0892ba,Windows | Windows 7 | chrome 63.0 | 1680x1050,Windows,desktop,Windows 7,chrome 63.0,1680x1050,226,132,132
Dd89c0df4531c,Windows | Windows 8.1 | chrome 63.0 | 1920x1080,Windows,desktop,Windows 8.1,chrome 63.0,1920x1080,195,132,132
D060a38a96095,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1680x1050,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1680x1050,220,130,130
Dc206f93dd779,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.2.0,mobile safari 11.0,1334x750,224,129,129
Dba671cb58147,iOS Device | iOS 11.3.0 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.3.0,mobile safari generic,2208x1242,248,128,128
D591441181b42,Windows | Windows 10 | firefox 57.0 | 1366x768,Windows,desktop,Windows 10,firefox 57.0,1366x768,260,127,127
D230dba93d2de,iOS Device | iOS 11.3.0 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.3.0,mobile safari generic,1334x750,237,127,127
Dbc2691726250,Windows | Windows 10 | chrome 64.0 | 1366x768,Windows,desktop,Windows 10,chrome 64.0,1366x768,192,126,126
Dade53a84d480,Windows | Windows 7 | chrome 66.0 | 1920x1080,Windows,desktop,Windows 7,chrome 66.0,1920x1080,214,125,125
D5d96d6cb696b,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.2.0,mobile safari 11.0,2208x1242,202,121,121
Dd5a0773bfbb8,MacOS | Mac OS X 10_11_6 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_11_6,safari generic,2560x1600,194,119,119
Da3adfc5f7c82,Windows | firefox 59.0,Windows,desktop,"",firefox 59.0,"",347,119,118
D11e8f1c43403,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.1.1,mobile safari 11.0,1334x750,206,116,116
D7babab4a3767,Windows | Windows 8.1 | chrome 63.0 | 1366x768,Windows,desktop,Windows 8.1,chrome 63.0,1366x768,225,116,116
D459df6c68273,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1136x640,iOS Device,mobile,iOS 10.3.3,mobile safari 10.0,1136x640,180,115,115
D4b67a5b0d2be,chrome 49.0,"",desktop,"",chrome 49.0,"",302,113,113
Da1a93677c665,Windows | Windows 10 | chrome 63.0,Windows,desktop,Windows 10,chrome 63.0,"",194,113,113
Dfd4297428565,Windows | Windows 10 | edge 16.0 | 1600x900,Windows,desktop,Windows 10,edge 16.0,1600x900,163,113,113
D8033689cb1f3,iOS Device | iOS 11.2.6 | mobile safari generic | 2436x1125,iOS Device,mobile,iOS 11.2.6,mobile safari generic,2436x1125,198,113,113
D487703f7a871,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 1024x768,iOS Device,mobile,iOS 9.3.5,mobile safari 9.0,1024x768,168,112,112
Ddc0cbc437bd8,Linux | chrome 62.0 | 1366x768,"",desktop,Linux,chrome 62.0,1366x768,182,112,112
D03c1036c3eee,Windows | Windows 10 | chrome 66.0 | 1366x768,Windows,desktop,Windows 10,chrome 66.0,1366x768,201,112,112
D7cc64a57ed93,Windows | Windows 7 | chrome 63.0 | 1440x900,Windows,desktop,Windows 7,chrome 63.0,1440x900,191,111,111
D95dce28d30b4,MacOS | Mac OS X 10_11_6 | safari generic | 1280x800,MacOS,desktop,Mac OS X 10_11_6,safari generic,1280x800,218,111,111
D369fc58dd707,MacOS | Mac OS X 10_12_6 | safari generic | 1920x1080,MacOS,desktop,Mac OS X 10_12_6,safari generic,1920x1080,178,111,111
Dd2d153765fed,iOS Device | iOS 11.2.1 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.2.1,mobile safari generic,2208x1242,166,110,110
D709ddcfde88d,Windows | firefox 58.0,Windows,desktop,"",firefox 58.0,"",295,110,108
D6c98e73e6586,chrome generic,"",desktop,"",chrome generic,"",448,109,109
D5f42a9456b95,Windows | Windows 10 | chrome generic | 1920x1080,Windows,desktop,Windows 10,chrome generic,1920x1080,199,109,109
Dc8f8dffb678f,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2001x1125,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2001x1125,164,109,109
D25171d0e0639,rv:11.0 | Windows 7 | ie 11.0 for desktop | 1920x1080,rv:11.0,desktop,Windows 7,ie 11.0 for desktop,1920x1080,181,106,106
Dc7b6a37e8211,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1440x900,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1440x900,159,105,105
D1591dcc3a147,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.0.3,mobile safari 11.0,2048x1536,168,105,105
D17696b112b4d,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1366x768,Trident/7.0,desktop,Windows 10,ie 11.0 for desktop,1366x768,150,104,104
D5a879f4eab1d,MacOS | Mac OS X 10_12_6 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_12_6,safari generic,2560x1600,184,104,104
D5b2bbfc81970,iOS Device | iOS 11.1.2 | mobile safari 11.0 | 2436x1125,iOS Device,mobile,iOS 11.1.2,mobile safari 11.0,2436x1125,162,103,103
D32987ceda11d,MacOS | Mac OS X 10_11_6 | safari generic | 1920x1080,MacOS,desktop,Mac OS X 10_11_6,safari generic,1920x1080,183,103,103
Dd8aaff3837da,iOS Device | iOS 11.3.0 | mobile safari 11.0 | 2436x1125,iOS Device,mobile,iOS 11.3.0,mobile safari 11.0,2436x1125,171,102,102
D03ca77ff21fa,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.1.1,mobile safari 11.0,2208x1242,167,101,101
D26a75e2ad373,iOS Device | iOS 11.2.2 | mobile safari generic | 1334x750,iOS Device,mobile,iOS 11.2.2,mobile safari generic,1334x750,147,99,99
De79ad74f9a91,MacOS | Mac OS X 10_13_2 | safari generic | 2880x1800,MacOS,desktop,Mac OS X 10_13_2,safari generic,2880x1800,160,98,98
D0dc5f68ea3cc,MacOS | Mac OS X 10_13_1 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_13_1,safari generic,1440x900,158,97,97
D23406968b8f2,iOS Device | iOS 11.2.6 | mobile safari generic | 2048x1536,iOS Device,mobile,iOS 11.2.6,mobile safari generic,2048x1536,154,97,97
D646253821492,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 2208x1242,iOS Device,mobile,iOS 10.3.3,mobile safari 10.0,2208x1242,164,97,97
De484f49ae4cd,MacOS | Mac OS X 10_10_5 | safari generic | 1920x1080,MacOS,desktop,Mac OS X 10_10_5,safari generic,1920x1080,135,96,96
D503518e58ebe,MacOS | Mac OS X 10_13_1 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_13_1,safari generic,2560x1600,127,95,95
D9b1c66db45a9,Windows | Windows 10 | chrome 63.0 | 1280x1024,Windows,desktop,Windows 10,chrome 63.0,1280x1024,142,94,94
D5eae85e0c153,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.0.3,mobile safari 11.0,1334x750,142,92,92
Db7c18e397c28,Windows | Windows 7 | chrome 62.0 | 1600x900,Windows,desktop,Windows 7,chrome 62.0,1600x900,138,92,92
Dd2e8a86b48e0,Windows | Windows 10 | chrome 63.0 | 1680x1050,Windows,desktop,Windows 10,chrome 63.0,1680x1050,160,91,91
D4f7c86eb91bb,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop | 1920x1080,Trident/7.0,desktop,Windows 8.1,ie 11.0 for desktop,1920x1080,142,91,91
D6be93dda9261,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop,Trident/7.0,desktop,Windows 8.1,ie 11.0 for desktop,"",133,90,90
Db3801e53380d,SM-G950U Build/NRD90M | Android 7.0 | chrome 63.0 for android | 2220x1080,SM-G950U Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,2220x1080,146,90,90
Db3cb6ee572f6,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 1334x750,iOS Device,mobile,iOS 10.3.2,mobile safari 10.0,1334x750,147,90,90
D2e86d3ce1e7b,MacOS | Mac OS X 10_10_5 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_10_5,safari generic,2560x1600,134,89,89
D883271685233,rv:57.0 | firefox 57.0,rv:57.0,desktop,"",firefox 57.0,"",203,89,89
D7671e61a331d,MacOS | Mac OS X 10_13_2 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_13_2,safari generic,1440x900,129,89,89
D256ae4f07602,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1600x900,Trident/7.0,desktop,Windows 10,ie 11.0 for desktop,1600x900,162,89,89
D4c8c98daa45c,Windows | Windows 10 | firefox 59.0 | 1920x1080,Windows,desktop,Windows 10,firefox 59.0,1920x1080,122,88,88
D834e60037534,Windows | Windows 10 | edge 14.0,Windows,desktop,Windows 10,edge 14.0,"",131,87,87
D1eaeaf2764dd,MacOS | Mac OS X 10_13_2 | safari generic | 2560x1600,MacOS,desktop,Mac OS X 10_13_2,safari generic,2560x1600,131,86,86
D5831f579a20d,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.1.2,mobile safari generic,2208x1242,145,86,86
D51f9a7015f47,iOS Device | iOS 11.2.6 | mobile safari generic | 1136x640,iOS Device,mobile,iOS 11.2.6,mobile safari generic,1136x640,147,86,86
D766de710ea4b,Windows | Windows 7 | chrome 63.0,Windows,desktop,Windows 7,chrome 63.0,"",125,85,85
D336e0e7f8324,iOS Device | iOS 11.2.5 | mobile safari generic | 2436x1125,iOS Device,mobile,iOS 11.2.5,mobile safari generic,2436x1125,140,85,85
De5b9eb173b58,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.2.0,mobile safari 11.0,2048x1536,126,84,84
Db84cb8314d0b,SM-G930V Build/NRD90M | Android 7.0 | chrome 63.0 for android | 1920x1080,SM-G930V Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,1920x1080,117,84,84
D3c3780608b2a,MacOS | Mac OS X 10_10_5 | safari generic | 1280x800,MacOS,desktop,Mac OS X 10_10_5,safari generic,1280x800,135,83,83
Dab80576987a2,MacOS | Mac OS X 10_12_6 | safari generic | 1280x800,MacOS,desktop,Mac OS X 10_12_6,safari generic,1280x800,161,83,83
D7053eb73fbec,Windows | Windows 7 | chrome 63.0 | 1920x1200,Windows,desktop,Windows 7,chrome 63.0,1920x1200,106,82,82
Dae219660affb,iOS Device | iOS 11.2.2 | mobile safari generic | 2208x1242,iOS Device,mobile,iOS 11.2.2,mobile safari generic,2208x1242,145,82,82
Da794bf69a79c,iOS Device | iOS 10.3.3 | mobile safari generic | 2048x1536,iOS Device,mobile,iOS 10.3.3,mobile safari generic,2048x1536,139,81,81
D5ff391ea525a,iOS Device | iOS 11.2.2 | mobile safari 11.0 | 1334x750,iOS Device,mobile,iOS 11.2.2,mobile safari 11.0,1334x750,143,80,80
D43d90dd24ac2,Windows | Windows 10 | chrome 63.0 | 1440x900,Windows,desktop,Windows 10,chrome 63.0,1440x900,117,79,79
D4c31ddc6f978,Windows | Windows 7 | chrome 62.0 | 1280x1024,Windows,desktop,Windows 7,chrome 62.0,1280x1024,119,79,79
Df402a105a39b,SM-G955U Build/NRD90M | Android 7.0 | chrome 63.0 for android,SM-G955U Build/NRD90M,mobile,Android 7.0,chrome 63.0 for android,"",136,78,78
D61b530a48bb9,Windows | Windows 7 | chrome generic | 1920x1080,Windows,desktop,Windows 7,chrome generic,1920x1080,108,78,78
Da0cea1ecb3e2,iOS Device | iOS 11.3.0 | mobile safari generic | 2436x1125,iOS Device,mobile,iOS 11.3.0,mobile safari generic,2436x1125,132,78,78
D1cee3ec76e15,Windows | edge 15.0,Windows,desktop,"",edge 15.0,"",203,77,77
D1bfab0444050,Windows | Windows 10 | edge 15.0 | 1600x900,Windows,desktop,Windows 10,edge 15.0,1600x900,115,76,76
D848a12d20cc3,MacOS | Mac OS X 10_13_1 | safari generic | 2880x1800,MacOS,desktop,Mac OS X 10_13_1,safari generic,2880x1800,123,76,76
D5bd1a8a75178,Windows | Windows 7 | firefox 57.0 | 1366x768,Windows,desktop,Windows 7,firefox 57.0,1366x768,117,74,74
D4a94dbf1dc5f,iOS Device | iOS 11.3.0 | mobile safari 11.0 | 2048x1536,iOS Device,mobile,iOS 11.3.0,mobile safari 11.0,2048x1536,117,73,73
D1f0bc2e5419c,MacOS | Mac OS X 10_11_6 | chrome 63.0 | 1440x900,MacOS,desktop,Mac OS X 10_11_6,chrome 63.0,1440x900,119,73,73
Dde278e9476af,Trident/7.0 | Windows 10 | ie 11.0 for tablet,Trident/7.0,desktop,Windows 10,ie 11.0 for tablet,"",119,73,73
D7a7397f42690,iOS Device | iOS 11.1.2 | mobile safari generic | 2048x1536,iOS Device,mobile,iOS 11.1.2,mobile safari generic,2048x1536,97,72,72
Dff9464c15ebb,Windows | Windows 10 | chrome 65.0 | 1600x900,Windows,desktop,Windows 10,chrome 65.0,1600x900,100,71,71
Db02031f3f7be,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 2048x1536,iOS Device,mobile,iOS 9.3.5,mobile safari 9.0,2048x1536,101,71,71
D39638f7ba0a4,iOS Device | iOS 11.2.2 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.2.2,mobile safari 11.0,2208x1242,106,71,71
D589b737ced5c,iOS Device | iOS 11.0.3 | mobile safari 11.0 | 2208x1242,iOS Device,mobile,iOS 11.0.3,mobile safari 11.0,2208x1242,105,70,70
D445d8b5a9021,MacOS | Mac OS X 10_13_2 | safari generic | 1920x1080,MacOS,desktop,Mac OS X 10_13_2,safari generic,1920x1080,114,70,70
D3c852b781856,mobile safari 9.0,"",mobile,"",mobile safari 9.0,"",154,70,70
D8b09368471ee,iOS Device | iOS 11.2.5 | mobile safari generic | 2048x1536,iOS Device,mobile,iOS 11.2.5,mobile safari generic,2048x1536,108,68,68
D7f723752209f,MacOS | Mac OS X 10_11_6 | safari generic | 2880x1800,MacOS,desktop,Mac OS X 10_11_6,safari generic,2880x1800,88,67,67
Df431294dee48,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1200,Trident/7.0,desktop,Windows 7,ie 11.0 for desktop,1920x1200,93,66,66
Dd48b12d350d6,MacOS | Mac OS X 10_10_5 | safari generic | 2880x1800,MacOS,desktop,Mac OS X 10_10_5,safari generic,2880x1800,96,65,65
D66d4ddc7464b,Windows | Windows 7 | chrome 65.0 | 1366x768,Windows,desktop,Windows 7,chrome 65.0,1366x768,110,64,64
D045316977eb2,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1440x900,MacOS,desktop,Mac OS X 10_12_6,chrome 62.0,1440x900,92,63,63
D7bb833ab3d62,MacOS | Mac OS X 10_9_5 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_9_5,safari generic,1440x900,107,63,63
Dd9362071c4ff,rv:11.0 | Windows 7 | ie 11.0 for desktop,rv:11.0,desktop,Windows 7,ie 11.0 for desktop,"",78,62,62
De76dbdf6cb91,Windows | Windows 7 | chrome 62.0 | 1680x1050,Windows,desktop,Windows 7,chrome 62.0,1680x1050,119,62,62
Ddc737be9d5f6,safari 11.0,"",desktop,"",safari 11.0,"",100,62,62
Da4528be2ba1f,MacOS | Mac OS X 10_13_3 | safari generic | 1440x900,MacOS,desktop,Mac OS X 10_13_3,safari generic,1440x900,97,62,62
D34ba0eeaae56,MacOS | Mac OS X 10_12_6 | chrome 63.0 | 1440x900,MacOS,desktop,Mac OS X 10_12_6,chrome 63.0,1440x900,94,62,62
D525a8b6006c3,Windows | Windows 10 | firefox 57.0 | 1600x900,Windows,desktop,Windows 10,firefox 57.0,1600x900,92,59,59
Dde146abc5fd1,Windows | Windows 7 | chrome 64.0 | 1366x768,Windows,desktop,Windows 7,chrome 64.0,1366x768,99,59,59
D554838a8451a,chrome,"",desktop,"",chrome,"",142,59,58
D6451641c298b,iOS Device | iOS 10.2.1 | mobile safari 10.0 | 1334x750,iOS Device,mobile,iOS 10.2.1,mobile safari 10.0,1334x750,81,59,59
D3c054f24946a,Windows | Windows 10 | chrome generic | 1366x768,Windows,desktop,Windows 10,chrome generic,1366x768,94,58,58
Dadbea25f348a,iOS Device | iOS 10.3.2 | mobile safari 10.0 | 2048x1536,iOS Device,mobile,iOS 10.3.2,mobile safari 10.0,2048x1536,92,58,58
Dcc91f18ac80b,MacOS | Mac OS X 10_13_3 | safari generic | 1920x1080,MacOS,desktop,Mac OS X 10_13_3,safari generic,1920x1080,90,58,58
Db2329927d20a,MacOS | Mac OS X 10_13_1 | safari generic | 1920x1080,MacOS,desktop,Mac OS X 10_13_1,safari generic,1920x1080,90,56,56
